MONITORING_ITER,TIME_SEC,ACCURACY
1,4.583000,0.146667
2,5.875000,0.143333
3,6.761000,0.160000
4,7.644000,0.180000
5,8.431000,0.233333
6,9.197000,0.226667
7,9.887000,0.260000
8,10.685000,0.203333
9,11.673000,0.216667
10,12.784000,0.290000
11,13.623000,0.313333
12,14.715000,0.290000
13,15.713000,0.303333
14,16.699000,0.300000
15,18.084000,0.316667
16,19.092000,0.293333
17,19.977000,0.300000
18,21.013000,0.316667
19,22.220000,0.340000
20,23.277000,0.330000
21,24.701000,0.306667
22,25.700000,0.316667
23,26.596000,0.366667
24,27.920000,0.356667
25,29.572000,0.343333
26,31.138000,0.320000
27,32.384000,0.363333
28,33.794000,0.333333
29,34.634000,0.403333
30,35.637000,0.353333
31,36.523000,0.380000
32,37.724000,0.420000
33,38.574000,0.363333
34,39.548000,0.436667
35,40.386000,0.376667
36,41.160000,0.396667
37,42.337000,0.420000
38,43.723000,0.370000
39,45.205000,0.433333
40,46.567000,0.383333
41,47.993000,0.450000
42,49.422000,0.400000
43,50.862000,0.446667
44,52.092000,0.436667
45,53.441000,0.443333
46,54.528000,0.433333
47,55.687000,0.426667
48,56.961000,0.406667
49,58.156000,0.466667
50,59.326000,0.423333
51,60.616000,0.436667
52,61.897000,0.416667
53,63.217000,0.436667
54,64.631000,0.456667
55,65.647000,0.430000
56,67.282000,0.466667
57,69.331000,0.403333
58,70.510000,0.456667
59,71.907000,0.463333
60,73.425000,0.436667
61,74.842000,0.433333
62,76.437000,0.456667
63,77.533000,0.453333
64,78.539000,0.486667
65,79.594000,0.470000
66,80.594000,0.446667
67,81.741000,0.476667
68,82.830000,0.463333
69,84.048000,0.483333
70,85.148000,0.460000
71,86.379000,0.450000
72,87.534000,0.450000
73,88.614000,0.480000
74,89.835000,0.496667
75,90.890000,0.470000
76,91.806000,0.476667
77,92.958000,0.453333
78,94.445000,0.466667
79,95.469000,0.470000
80,96.471000,0.466667
81,97.831000,0.476667
82,99.307000,0.476667
83,100.802000,0.490000
84,101.768000,0.506667
85,102.729000,0.483333
86,104.404000,0.456667
87,106.100000,0.483333
88,107.541000,0.486667
89,108.893000,0.503333
90,110.096000,0.476667
91,111.378000,0.470000
92,112.620000,0.483333
93,113.882000,0.490000
94,115.289000,0.500000
95,116.980000,0.490000
96,118.196000,0.480000
97,119.376000,0.476667
98,120.795000,0.480000
99,122.258000,0.506667
100,123.726000,0.496667
101,125.113000,0.500000
102,126.335000,0.500000
103,127.267000,0.506667
104,128.279000,0.513333
105,129.375000,0.503333
106,130.391000,0.513333
107,131.514000,0.500000
108,132.461000,0.516667
109,133.398000,0.513333
110,134.209000,0.493333
111,135.338000,0.490000
112,136.292000,0.510000
113,137.171000,0.503333
114,138.610000,0.523333
115,140.048000,0.496667
116,141.307000,0.513333
117,142.497000,0.496667
118,143.633000,0.536667
119,144.888000,0.523333
120,146.242000,0.520000
121,147.405000,0.516667
122,148.680000,0.520000
123,149.994000,0.540000
124,151.303000,0.526667
125,152.501000,0.540000
126,153.816000,0.543333
127,154.977000,0.503333
128,156.209000,0.543333
129,157.452000,0.550000
130,158.415000,0.526667
131,159.391000,0.543333
132,160.266000,0.526667
133,161.135000,0.553333
134,162.221000,0.550000
135,163.377000,0.533333
136,164.782000,0.546667
137,166.547000,0.513333
138,167.991000,0.550000
139,169.163000,0.546667
140,170.342000,0.523333
141,171.440000,0.546667
142,172.760000,0.510000
143,175.111000,0.553333
144,176.665000,0.540000
145,178.231000,0.540000
146,179.674000,0.536667
147,181.032000,0.516667
148,182.452000,0.550000
149,183.777000,0.543333
150,185.101000,0.526667
151,186.455000,0.543333
152,187.825000,0.516667
153,188.845000,0.536667
154,189.918000,0.553333
155,190.997000,0.526667
156,192.046000,0.546667
157,193.254000,0.510000
158,194.479000,0.546667
159,195.938000,0.550000
160,197.431000,0.520000
161,198.770000,0.530000
162,200.051000,0.516667
163,201.244000,0.540000
164,202.246000,0.553333
165,203.121000,0.533333
166,203.953000,0.523333
167,204.874000,0.530000
168,205.889000,0.546667
169,207.048000,0.520000
170,208.179000,0.530000
171,209.198000,0.523333
172,211.411000,0.520000
173,213.052000,0.553333
LOSS_FUNCTION,HINGE,COMBINE_LOSS,AVG,REGULARIZER,NONE
MONITORING_ITER,TIME_SEC,ACCURACY
1,4.783000,0.206667
2,6.661000,0.266667
3,8.088000,0.246667
4,9.346000,0.300000
5,10.833000,0.283333
6,12.510000,0.333333
7,14.165000,0.326667
8,15.836000,0.323333
9,17.220000,0.366667
10,18.374000,0.380000
11,19.572000,0.320000
12,20.682000,0.380000
13,21.656000,0.363333
14,22.670000,0.466667
15,23.709000,0.453333
16,25.084000,0.470000
17,26.668000,0.460000
18,28.332000,0.526667
19,29.964000,0.446667
20,31.725000,0.540000
21,34.338000,0.510000
22,36.050000,0.453333
23,37.081000,0.536667
24,38.213000,0.496667
25,39.302000,0.540000
26,40.422000,0.423333
27,41.496000,0.466667
28,42.805000,0.483333
29,44.183000,0.470000
30,45.556000,0.503333
31,47.115000,0.476667
32,48.754000,0.436667
33,50.267000,0.490000
34,51.791000,0.470000
35,53.280000,0.500000
36,54.406000,0.486667
37,55.342000,0.530000
38,56.475000,0.513333
39,57.404000,0.483333
40,58.321000,0.580000
41,59.211000,0.493333
42,60.174000,0.483333
43,61.306000,0.513333
44,62.411000,0.520000
45,63.346000,0.520000
46,64.245000,0.513333
47,65.173000,0.516667
48,66.095000,0.540000
49,67.211000,0.496667
50,68.222000,0.573333
51,70.468000,0.523333
52,71.450000,0.550000
53,72.398000,0.523333
54,73.335000,0.596667
55,74.509000,0.536667
56,75.479000,0.560000
57,76.412000,0.563333
58,77.314000,0.516667
59,78.196000,0.563333
60,79.110000,0.560000
61,80.057000,0.553333
62,81.016000,0.556667
63,82.163000,0.556667
64,83.680000,0.570000
65,85.367000,0.616667
66,86.600000,0.586667
67,87.471000,0.606667
68,88.365000,0.593333
69,89.326000,0.576667
70,90.209000,0.603333
71,91.137000,0.580000
72,92.180000,0.540000
73,93.761000,0.590000
74,95.392000,0.586667
75,97.175000,0.593333
76,98.547000,0.553333
77,99.996000,0.556667
78,101.380000,0.566667
79,102.904000,0.573333
80,105.138000,0.596667
81,107.027000,0.590000
82,107.908000,0.586667
83,108.850000,0.583333
84,110.025000,0.573333
85,111.536000,0.606667
86,112.947000,0.563333
87,114.413000,0.580000
88,115.886000,0.563333
89,117.459000,0.556667
90,119.061000,0.590000
91,120.621000,0.593333
92,122.107000,0.596667
93,123.343000,0.606667
94,124.781000,0.590000
95,126.287000,0.613333
96,127.815000,0.603333
97,129.425000,0.586667
98,131.011000,0.600000
99,132.464000,0.613333
100,133.486000,0.650000
101,134.595000,0.583333
102,135.947000,0.590000
103,137.148000,0.620000
104,138.210000,0.593333
105,139.429000,0.633333
106,141.279000,0.613333
107,143.577000,0.613333
108,144.889000,0.606667
109,146.542000,0.590000
110,147.743000,0.596667
111,148.780000,0.603333
112,150.026000,0.606667
113,151.225000,0.613333
114,152.465000,0.603333
115,153.676000,0.630000
116,154.846000,0.603333
117,155.916000,0.576667
118,156.981000,0.633333
119,158.194000,0.613333
120,159.247000,0.623333
121,160.367000,0.603333
122,161.438000,0.620000
123,162.367000,0.643333
124,163.536000,0.610000
125,164.534000,0.646667
126,165.407000,0.616667
127,166.523000,0.626667
128,167.544000,0.650000
129,168.645000,0.616667
130,169.621000,0.653333
131,171.021000,0.600000
132,172.362000,0.626667
133,173.488000,0.646667
134,174.569000,0.610000
135,175.883000,0.650000
136,178.157000,0.616667
137,180.022000,0.626667
138,181.276000,0.643333
139,182.345000,0.623333
140,183.444000,0.643333
141,184.848000,0.623333
142,186.328000,0.620000
143,187.733000,0.646667
144,189.760000,0.620000
145,191.282000,0.646667
146,192.970000,0.626667
147,194.457000,0.630000
148,195.466000,0.646667
149,196.388000,0.626667
150,197.310000,0.646667
151,198.191000,0.626667
152,199.300000,0.626667
153,200.333000,0.646667
154,201.457000,0.620000
155,202.788000,0.650000
156,203.952000,0.633333
157,204.928000,0.620000
158,205.915000,0.643333
159,206.860000,0.613333
160,208.222000,0.643333
161,209.642000,0.616667
162,211.302000,0.626667
