MONITORING_ITER,TIME_SEC,ACCURACY
1,1.345000,0.086667
2,1.455000,0.160000
3,1.558000,0.160000
4,1.653000,0.233333
5,1.709000,0.233333
6,1.755000,0.300000
7,1.805000,0.316667
8,1.839000,0.323333
9,1.907000,0.393333
10,1.937000,0.360000
11,1.962000,0.373333
12,1.988000,0.396667
13,2.014000,0.393333
14,2.035000,0.460000
15,2.055000,0.433333
16,2.082000,0.486667
17,2.112000,0.480000
18,2.167000,0.450000
19,2.200000,0.493333
20,2.236000,0.500000
21,2.258000,0.510000
22,2.279000,0.523333
23,2.305000,0.490000
24,2.328000,0.533333
25,2.349000,0.523333
26,2.370000,0.543333
27,2.391000,0.576667
28,2.442000,0.566667
29,2.461000,0.610000
30,2.481000,0.573333
31,2.526000,0.593333
32,2.543000,0.576667
33,2.563000,0.573333
34,2.586000,0.576667
35,2.611000,0.580000
36,2.629000,0.600000
37,2.647000,0.600000
38,2.704000,0.596667
39,2.735000,0.570000
40,2.760000,0.593333
41,2.779000,0.613333
42,2.798000,0.593333
43,2.814000,0.580000
44,2.831000,0.596667
45,2.850000,0.560000
46,2.866000,0.610000
47,2.883000,0.603333
48,2.900000,0.593333
49,2.920000,0.593333
50,2.985000,0.570000
51,3.009000,0.600000
52,3.026000,0.610000
53,3.046000,0.576667
54,3.063000,0.590000
55,3.084000,0.573333
56,3.105000,0.616667
57,3.124000,0.596667
58,3.142000,0.596667
59,3.157000,0.600000
60,3.175000,0.576667
61,3.193000,0.596667
62,3.208000,0.590000
63,3.266000,0.586667
64,3.299000,0.593333
65,3.323000,0.580000
66,3.340000,0.633333
67,3.353000,0.590000
68,3.368000,0.573333
69,3.382000,0.600000
70,3.398000,0.586667
71,3.413000,0.613333
72,3.426000,0.606667
73,3.438000,0.586667
74,3.449000,0.596667
75,3.462000,0.596667
76,3.478000,0.610000
77,3.532000,0.610000
78,3.546000,0.610000
79,3.566000,0.600000
80,3.580000,0.590000
81,3.595000,0.623333
82,3.610000,0.606667
83,3.622000,0.620000
84,3.634000,0.626667
85,3.646000,0.596667
86,3.658000,0.616667
87,3.670000,0.640000
88,3.682000,0.623333
89,3.695000,0.590000
90,3.753000,0.620000
91,3.784000,0.630000
92,3.800000,0.630000
93,3.820000,0.610000
94,3.835000,0.620000
95,3.848000,0.606667
96,3.862000,0.623333
97,3.873000,0.643333
98,3.886000,0.610000
