MONITORING_ITER,TIME_SEC,ACCURACY
1,17.071000,0.366667
2,22.116000,0.300000
3,26.985000,0.446667
4,33.233000,0.546667
5,39.745000,0.530000
6,45.359000,0.493333
7,49.756000,0.606667
8,53.509000,0.623333
9,57.900000,0.650000
10,62.733000,0.770000
11,67.421000,0.763333
12,71.996000,0.750000
13,76.532000,0.766667
14,82.053000,0.676667
15,88.347000,0.723333
16,94.092000,0.803333
17,98.935000,0.753333
18,103.686000,0.790000
19,108.195000,0.770000
20,112.540000,0.773333
21,117.263000,0.810000
22,121.360000,0.756667
23,125.686000,0.793333
24,131.939000,0.736667
25,138.817000,0.730000
26,143.828000,0.846667
27,148.443000,0.793333
28,153.120000,0.820000
29,157.333000,0.796667
30,161.861000,0.780000
31,166.482000,0.820000
32,171.157000,0.773333
33,176.878000,0.823333
34,182.597000,0.783333
35,188.382000,0.803333
36,193.271000,0.836667
37,197.538000,0.806667
38,201.795000,0.826667
39,206.199000,0.780000
40,210.558000,0.793333
41,214.839000,0.820000
42,219.157000,0.793333
43,225.806000,0.810000
44,231.949000,0.813333
45,236.774000,0.786667
46,241.373000,0.833333
47,245.667000,0.806667
48,250.089000,0.813333
49,253.999000,0.806667
50,258.686000,0.806667
51,263.469000,0.836667
52,268.309000,0.773333
53,275.587000,0.826667
54,281.639000,0.793333
55,285.840000,0.786667
56,290.669000,0.796667
