MONITORING_ITER,TIME_SEC,ACCURACY
1,1.342000,0.040000
2,1.372000,0.046667
3,1.383000,0.046667
4,1.399000,0.193333
5,1.420000,0.660000
6,1.433000,0.726667
7,1.443000,0.733333
8,1.465000,0.766667
9,1.476000,0.666667
10,1.485000,0.666667
11,1.507000,0.666667
12,1.528000,0.866667
13,1.533000,0.873333
14,1.548000,0.780000
15,1.558000,0.773333
16,1.572000,0.746667
17,1.584000,0.880000
18,1.595000,0.886667
19,1.610000,0.873333
20,1.614000,0.893333
21,1.637000,0.900000
22,1.650000,0.946667
23,1.661000,0.913333
