MONITORING_ITER,TIME_SEC,ACCURACY
1,5.933000,0.256667
2,6.052000,0.166667
3,6.137000,0.226667
4,6.266000,0.190000
5,6.357000,0.236667
6,6.440000,0.206667
7,6.515000,0.446667
8,6.563000,0.350000
9,6.644000,0.450000
10,6.682000,0.440000
11,6.730000,0.430000
12,6.783000,0.506667
13,6.834000,0.506667
14,6.871000,0.580000
15,6.908000,0.576667
16,6.978000,0.576667
17,7.050000,0.606667
18,7.121000,0.593333
19,7.180000,0.573333
20,7.225000,0.616667
21,7.284000,0.633333
22,7.318000,0.680000
23,7.350000,0.636667
24,7.434000,0.670000
25,7.507000,0.663333
26,7.542000,0.676667
27,7.586000,0.736667
28,7.622000,0.700000
29,7.651000,0.700000
30,7.689000,0.693333
31,7.717000,0.753333
32,7.800000,0.746667
33,7.865000,0.730000
34,7.906000,0.743333
35,7.933000,0.726667
36,7.960000,0.743333
37,7.988000,0.770000
38,8.016000,0.726667
39,8.042000,0.750000
40,8.068000,0.786667
41,8.090000,0.766667
42,8.114000,0.773333
43,8.173000,0.740000
44,8.195000,0.753333
45,8.220000,0.783333
46,8.248000,0.766667
47,8.268000,0.780000
48,8.300000,0.720000
49,8.325000,0.756667
50,8.349000,0.766667
51,8.376000,0.790000
52,8.404000,0.813333
53,8.426000,0.763333
54,8.509000,0.766667
55,8.546000,0.793333
56,8.569000,0.793333
57,8.590000,0.826667
58,8.630000,0.776667
59,8.661000,0.776667
60,8.679000,0.790000
61,8.707000,0.796667
62,8.729000,0.823333
63,8.753000,0.766667
64,8.821000,0.793333
65,8.852000,0.780000
66,8.879000,0.790000
67,8.903000,0.830000
68,8.928000,0.803333
69,8.950000,0.780000
70,8.974000,0.796667
71,8.996000,0.813333
72,9.018000,0.846667
73,9.040000,0.783333
74,9.061000,0.796667
75,9.082000,0.800000
76,9.111000,0.803333
77,9.192000,0.846667
78,9.225000,0.776667
79,9.264000,0.816667
80,9.337000,0.796667
81,9.359000,0.806667
82,9.391000,0.846667
83,9.419000,0.793333
84,9.452000,0.803333
85,9.476000,0.803333
86,9.498000,0.830000
87,9.521000,0.850000
88,9.543000,0.786667
89,9.566000,0.790000
90,9.593000,0.800000
91,9.616000,0.820000
92,9.650000,0.863333
93,9.681000,0.793333
94,9.730000,0.803333
95,9.787000,0.816667
96,9.811000,0.816667
97,9.852000,0.830000
98,9.885000,0.806667
99,9.910000,0.813333
100,9.933000,0.803333
101,9.959000,0.800000
102,9.986000,0.820000
103,10.014000,0.786667
104,10.052000,0.803333
105,10.076000,0.803333
106,10.102000,0.806667
107,10.151000,0.816667
108,10.182000,0.786667
109,10.207000,0.800000
110,10.229000,0.793333
111,10.253000,0.833333
112,10.275000,0.823333
113,10.298000,0.806667
114,10.525000,0.803333
115,10.561000,0.810000
116,10.604000,0.826667
117,10.661000,0.816667
118,10.703000,0.790000
119,10.736000,0.816667
120,10.773000,0.793333
121,10.814000,0.810000
122,10.851000,0.830000
123,10.876000,0.786667
124,10.904000,0.803333
125,10.935000,0.783333
126,10.962000,0.823333
127,10.989000,0.826667
128,11.032000,0.783333
129,11.064000,0.796667
130,11.105000,0.793333
131,11.125000,0.813333
132,11.149000,0.830000
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,ENABLE_NEIGHBORHOODS,TOPOLOGY,ND4J_PROFILE
0,12,7.151,6.104,7.151,0.863333,0.569179,2309,339,1970,1717896,0.045000,0.005000,0.050000,75,0,0,false,true,false,true,true,true,cpu
