MONITORING_ITER,TIME_SEC,ACCURACY
1,7.469000,0.230000
2,7.684000,0.186667
3,7.753000,0.330000
4,7.805000,0.413333
5,7.863000,0.403333
6,7.939000,0.416667
7,7.988000,0.476667
8,8.104000,0.556667
9,8.228000,0.580000
10,8.366000,0.590000
11,8.454000,0.606667
12,8.566000,0.650000
13,8.664000,0.630000
14,8.751000,0.670000
15,8.844000,0.660000
16,8.941000,0.673333
17,9.029000,0.696667
18,9.130000,0.680000
19,9.215000,0.693333
20,9.329000,0.696667
21,9.434000,0.710000
22,9.548000,0.706667
23,9.655000,0.660000
24,9.735000,0.716667
25,9.839000,0.726667
26,9.931000,0.763333
27,10.032000,0.763333
28,10.122000,0.746667
29,10.221000,0.743333
30,10.268000,0.730000
31,10.323000,0.790000
32,10.407000,0.793333
33,10.470000,0.763333
34,10.557000,0.753333
35,10.639000,0.766667
36,10.684000,0.800000
37,10.730000,0.803333
38,10.786000,0.760000
39,10.845000,0.776667
40,10.914000,0.746667
41,10.964000,0.770000
42,11.044000,0.816667
43,11.118000,0.780000
44,11.170000,0.770000
45,11.225000,0.760000
46,11.279000,0.800000
47,11.336000,0.783333
48,11.397000,0.726667
49,11.452000,0.766667
50,11.533000,0.750000
51,11.614000,0.803333
52,11.663000,0.793333
53,11.712000,0.746667
54,11.766000,0.766667
55,11.817000,0.763333
56,11.864000,0.763333
57,11.914000,0.793333
58,11.969000,0.726667
59,12.062000,0.746667
60,12.135000,0.773333
61,12.178000,0.713333
62,12.234000,0.776667
63,12.290000,0.736667
64,12.340000,0.760000
65,12.420000,0.743333
66,12.470000,0.763333
67,12.545000,0.790000
68,12.613000,0.716667
69,12.691000,0.716667
70,12.737000,0.726667
71,12.808000,0.740000
72,12.857000,0.770000
73,12.925000,0.746667
74,12.983000,0.756667
75,13.059000,0.746667
76,13.119000,0.773333
77,13.174000,0.776667
78,13.231000,0.766667
79,13.296000,0.760000
80,13.350000,0.740000
81,13.410000,0.770000
82,13.472000,0.783333
83,13.536000,0.733333
84,13.591000,0.753333
85,13.651000,0.756667
86,13.706000,0.753333
87,13.778000,0.776667
88,13.827000,0.706667
89,13.879000,0.780000
90,13.939000,0.780000
91,13.996000,0.750000
92,14.053000,0.773333
93,14.103000,0.723333
94,14.179000,0.750000
95,14.234000,0.773333
96,14.289000,0.786667
97,14.334000,0.770000
98,14.387000,0.773333
99,14.439000,0.796667
100,14.476000,0.756667
101,14.549000,0.783333
102,14.616000,0.793333
103,14.674000,0.756667
104,14.737000,0.793333
105,14.808000,0.763333
106,14.882000,0.806667
107,14.969000,0.800000
108,15.039000,0.776667
109,15.089000,0.793333
110,15.164000,0.786667
111,15.211000,0.796667
112,15.303000,0.800000
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,ENABLE_NEIGHBORHOODS,TOPOLOGY,ND4J_PROFILE,AVG_NETWORK_DELAY
0,12,NaN,8.115,NaN,0.816667,0.993872,0,0,0,0,0.045000,0.005000,0.050000,75,0,0,false,true,false,true,true,true,cpu,34.007480
