MONITORING_ITER,TIME_SEC,ACCURACY
1,4.101000,0.093333
2,4.726000,0.103333
3,5.548000,0.183333
4,6.673000,0.076667
5,7.771000,0.103333
6,9.326000,0.080000
7,10.440000,0.080000
8,11.465000,0.150000
9,12.859000,0.076667
10,14.038000,0.103333
11,14.792000,0.150000
12,15.564000,0.110000
13,16.310000,0.103333
14,17.197000,0.076667
15,17.940000,0.103333
16,18.696000,0.080000
17,19.387000,0.086667
18,20.318000,0.103333
19,21.168000,0.076667
20,21.881000,0.096667
21,22.582000,0.136667
22,23.518000,0.083333
23,24.358000,0.096667
24,25.245000,0.100000
25,26.587000,0.103333
26,27.661000,0.173333
27,28.609000,0.086667
28,29.438000,0.083333
29,30.214000,0.136667
30,31.009000,0.226667
31,31.807000,0.136667
32,32.545000,0.163333
33,33.442000,0.210000
34,34.532000,0.156667
35,35.653000,0.133333
36,36.557000,0.223333
37,37.344000,0.130000
38,38.281000,0.143333
39,39.163000,0.103333
40,40.017000,0.206667
41,40.770000,0.230000
42,41.513000,0.153333
43,42.360000,0.276667
44,43.656000,0.150000
45,45.035000,0.283333
46,46.892000,0.343333
47,48.015000,0.193333
48,48.909000,0.196667
49,49.854000,0.290000
50,50.683000,0.163333
51,51.448000,0.260000
52,52.275000,0.246667
53,53.280000,0.300000
54,54.193000,0.320000
55,55.106000,0.320000
56,55.902000,0.380000
57,56.785000,0.383333
58,57.697000,0.423333
59,58.697000,0.410000
60,59.707000,0.380000
61,60.483000,0.453333
62,61.342000,0.400000
63,62.113000,0.430000
64,63.002000,0.330000
65,64.107000,0.366667
66,65.263000,0.433333
67,66.430000,0.406667
68,67.678000,0.450000
69,68.700000,0.413333
70,69.451000,0.423333
71,70.234000,0.443333
72,70.990000,0.466667
73,71.797000,0.523333
74,72.813000,0.440000
75,73.644000,0.483333
76,74.270000,0.506667
77,75.154000,0.483333
78,76.031000,0.526667
79,76.966000,0.506667
80,77.869000,0.520000
81,78.921000,0.536667
82,80.091000,0.483333
83,81.031000,0.573333
84,82.701000,0.523333
85,84.523000,0.553333
86,85.560000,0.563333
87,86.357000,0.523333
88,87.242000,0.550000
89,88.330000,0.530000
90,89.339000,0.563333
91,90.363000,0.586667
92,91.652000,0.520000
93,92.815000,0.550000
94,93.861000,0.540000
95,94.595000,0.556667
96,95.451000,0.573333
97,96.226000,0.523333
98,97.180000,0.570000
99,98.160000,0.576667
100,99.181000,0.563333
101,100.590000,0.590000
102,101.848000,0.563333
103,103.064000,0.583333
104,104.210000,0.583333
105,105.093000,0.600000
106,105.861000,0.583333
107,106.640000,0.546667
108,107.499000,0.573333
109,108.428000,0.583333
110,109.218000,0.593333
111,109.944000,0.593333
112,110.743000,0.573333
113,111.505000,0.623333
114,112.454000,0.600000
115,113.437000,0.613333
116,114.442000,0.600000
117,115.374000,0.593333
118,116.334000,0.610000
119,117.087000,0.603333
120,117.843000,0.593333
121,119.058000,0.610000
122,119.916000,0.596667
123,120.785000,0.613333
124,121.559000,0.610000
125,122.373000,0.603333
126,123.233000,0.610000
127,124.260000,0.616667
128,125.626000,0.610000
129,126.972000,0.600000
130,128.249000,0.613333
131,129.152000,0.606667
132,130.121000,0.596667
133,131.052000,0.610000
134,131.990000,0.600000
135,132.947000,0.620000
136,134.023000,0.626667
137,135.013000,0.606667
138,135.997000,0.623333
139,136.932000,0.616667
140,137.818000,0.640000
141,138.647000,0.623333
142,139.975000,0.610000
143,141.084000,0.616667
144,142.613000,0.593333
145,143.948000,0.636667
146,145.324000,0.650000
147,146.713000,0.636667
148,148.009000,0.630000
149,149.309000,0.643333
150,150.768000,0.630000
151,152.202000,0.633333
152,153.893000,0.620000
153,155.037000,0.650000
154,155.859000,0.643333
155,156.623000,0.626667
156,157.403000,0.640000
157,158.173000,0.626667
158,159.173000,0.643333
159,160.098000,0.630000
160,161.221000,0.653333
161,162.455000,0.646667
162,163.726000,0.636667
163,164.729000,0.653333
164,165.976000,0.626667
165,167.434000,0.650000
166,168.762000,0.646667
167,170.083000,0.640000
168,171.460000,0.660000
169,172.973000,0.633333
170,174.338000,0.656667
171,175.655000,0.643333
172,177.037000,0.640000
173,178.403000,0.660000
174,179.770000,0.653333
175,181.252000,0.666667
176,182.349000,0.660000
177,183.647000,0.643333
178,184.951000,0.690000
179,186.193000,0.653333
180,187.158000,0.653333
181,188.381000,0.656667
182,189.401000,0.626667
183,190.388000,0.656667
184,191.351000,0.656667
185,192.358000,0.646667
186,193.349000,0.660000
187,194.308000,0.636667
188,195.375000,0.673333
189,196.355000,0.640000
190,197.473000,0.646667
191,198.504000,0.673333
192,199.364000,0.626667
193,200.544000,0.666667
194,201.610000,0.650000
195,202.891000,0.650000
196,204.101000,0.666667
197,205.122000,0.653333
198,206.647000,0.663333
199,207.873000,0.643333
200,208.949000,0.660000
201,210.188000,0.673333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,24,210.393,207.133,210.393,0.690000,1.069138,6482,915,5567,97074432,0.045000,0.005000,0.050000,75,0,0,true,true
