MONITORING_ITER,TIME_SEC,ACCURACY
1,5.795000,0.083333
2,7.557000,0.066667
3,9.475000,0.110000
4,11.482000,0.210000
5,13.241000,0.233333
6,15.169000,0.206667
7,17.277000,0.150000
8,19.351000,0.196667
9,21.362000,0.206667
10,23.856000,0.273333
11,25.063000,0.260000
12,26.160000,0.290000
13,27.821000,0.210000
14,29.609000,0.280000
15,31.179000,0.356667
16,32.885000,0.336667
17,34.412000,0.383333
18,36.308000,0.376667
19,38.178000,0.426667
20,40.202000,0.436667
21,42.163000,0.430000
22,44.090000,0.403333
23,45.589000,0.490000
24,47.191000,0.510000
25,49.018000,0.486667
26,50.363000,0.473333
27,51.932000,0.523333
28,53.356000,0.563333
29,54.991000,0.493333
30,56.596000,0.563333
31,58.707000,0.516667
32,60.881000,0.493333
33,62.761000,0.563333
34,64.552000,0.520000
35,66.064000,0.546667
36,67.592000,0.626667
37,69.081000,0.546667
38,70.774000,0.633333
39,72.548000,0.586667
40,74.260000,0.580000
41,76.174000,0.596667
42,78.198000,0.613333
43,79.884000,0.626667
44,81.652000,0.646667
45,83.451000,0.643333
46,85.107000,0.616667
47,87.145000,0.620000
48,89.317000,0.670000
49,90.511000,0.666667
50,92.006000,0.636667
51,94.487000,0.646667
52,96.366000,0.670000
53,98.119000,0.673333
54,100.252000,0.676667
55,102.123000,0.670000
56,104.124000,0.663333
57,105.864000,0.683333
58,107.659000,0.670000
59,109.420000,0.680000
60,111.066000,0.693333
61,112.660000,0.670000
62,114.582000,0.673333
63,116.487000,0.706667
64,118.162000,0.703333
65,120.013000,0.710000
66,121.687000,0.703333
67,123.749000,0.716667
68,125.754000,0.696667
69,128.067000,0.716667
70,130.521000,0.726667
71,132.533000,0.706667
72,134.210000,0.726667
73,135.946000,0.736667
74,137.945000,0.723333
75,140.187000,0.753333
76,142.189000,0.696667
77,144.021000,0.750000
78,145.787000,0.740000
79,147.719000,0.713333
80,150.069000,0.760000
81,151.820000,0.710000
82,153.780000,0.760000
83,155.262000,0.743333
84,156.680000,0.740000
85,158.420000,0.756667
86,160.285000,0.763333
87,162.527000,0.763333
88,165.080000,0.780000
89,167.214000,0.776667
90,169.328000,0.780000
91,171.357000,0.766667
92,173.725000,0.790000
93,176.062000,0.780000
94,178.079000,0.786667
95,179.890000,0.800000
96,181.792000,0.800000
97,183.717000,0.786667
98,185.308000,0.786667
99,187.398000,0.806667
100,189.186000,0.793333
101,191.330000,0.800000
102,193.369000,0.806667
103,195.233000,0.813333
104,197.039000,0.796667
105,199.264000,0.810000
106,201.067000,0.810000
107,202.772000,0.823333
108,204.559000,0.810000
109,206.291000,0.830000
110,208.039000,0.820000
111,209.977000,0.800000
112,211.908000,0.826667
113,214.308000,0.810000
114,216.600000,0.820000
115,218.428000,0.806667
116,219.910000,0.800000
117,221.588000,0.830000
118,223.505000,0.813333
119,225.342000,0.816667
120,227.297000,0.823333
121,229.800000,0.820000
122,231.928000,0.830000
123,234.667000,0.813333
124,236.775000,0.823333
125,238.740000,0.810000
126,240.479000,0.800000
127,242.300000,0.816667
128,244.426000,0.813333
129,246.336000,0.816667
130,248.054000,0.816667
131,249.840000,0.823333
132,251.847000,0.803333
133,253.698000,0.816667
134,255.826000,0.816667
135,257.593000,0.813333
136,260.049000,0.816667
137,262.330000,0.806667
138,264.201000,0.813333
139,266.044000,0.820000
