MONITORING_ITER,TIME_SEC,ACCURACY
1,2.691000,0.210000
2,3.055000,0.306667
3,3.447000,0.186667
4,3.840000,0.230000
5,4.114000,0.250000
6,4.403000,0.386667
7,4.772000,0.183333
8,5.256000,0.193333
9,5.744000,0.243333
10,6.250000,0.216667
11,6.841000,0.203333
12,7.635000,0.313333
13,8.475000,0.323333
14,9.145000,0.440000
15,9.614000,0.300000
16,10.140000,0.466667
17,10.730000,0.470000
18,11.284000,0.610000
19,11.921000,0.550000
20,12.539000,0.600000
21,13.132000,0.466667
22,13.622000,0.643333
23,14.136000,0.523333
24,14.810000,0.663333
25,15.676000,0.660000
26,16.527000,0.690000
27,17.399000,0.730000
28,18.422000,0.683333
29,19.283000,0.676667
30,20.113000,0.783333
31,20.894000,0.726667
32,21.847000,0.810000
33,22.754000,0.816667
34,23.585000,0.790000
35,24.311000,0.836667
36,24.972000,0.810000
37,25.733000,0.826667
38,26.272000,0.803333
39,26.780000,0.840000
40,27.383000,0.783333
41,28.274000,0.830000
42,29.171000,0.833333
43,30.286000,0.826667
44,31.301000,0.793333
45,31.871000,0.876667
46,32.596000,0.840000
47,33.215000,0.853333
48,33.716000,0.800000
49,34.225000,0.836667
50,34.727000,0.870000
51,35.235000,0.876667
52,35.883000,0.870000
53,36.913000,0.853333
54,37.551000,0.873333
55,38.167000,0.893333
56,38.965000,0.906667
57,39.927000,0.843333
58,40.770000,0.863333
59,41.587000,0.843333
60,42.356000,0.853333
61,43.170000,0.866667
62,43.939000,0.876667
63,44.607000,0.843333
64,45.576000,0.863333
65,46.321000,0.803333
66,47.204000,0.863333
67,48.073000,0.900000
68,48.895000,0.886667
69,49.905000,0.880000
70,50.685000,0.886667
71,51.427000,0.906667
72,52.175000,0.846667
73,52.826000,0.866667
74,53.592000,0.886667
75,54.321000,0.896667
76,54.937000,0.860000
77,55.748000,0.890000
78,56.439000,0.876667
79,57.268000,0.880000
80,58.226000,0.886667
81,59.059000,0.903333
82,59.929000,0.890000
83,60.692000,0.903333
84,61.500000,0.890000
85,62.222000,0.886667
86,62.856000,0.903333
87,63.591000,0.890000
88,64.338000,0.863333
89,64.926000,0.893333
90,65.495000,0.890000
91,66.187000,0.913333
92,67.507000,0.873333
93,68.706000,0.863333
94,69.551000,0.896667
95,70.250000,0.886667
96,71.131000,0.933333
97,72.011000,0.896667
98,72.646000,0.903333
99,73.268000,0.893333
100,73.807000,0.896667
101,74.491000,0.906667
102,75.109000,0.893333
103,75.658000,0.916667
104,76.289000,0.903333
105,76.992000,0.870000
106,77.683000,0.916667
107,78.420000,0.890000
108,79.204000,0.906667
109,79.694000,0.893333
110,80.286000,0.873333
111,80.867000,0.916667
112,81.600000,0.903333
113,82.278000,0.900000
114,82.975000,0.906667
115,83.637000,0.890000
116,84.320000,0.923333
117,84.973000,0.903333
118,85.648000,0.906667
119,86.382000,0.906667
120,87.124000,0.886667
121,87.821000,0.923333
122,88.517000,0.910000
123,89.144000,0.893333
124,89.808000,0.906667
125,90.541000,0.896667
126,91.283000,0.933333
127,91.892000,0.913333
128,92.555000,0.906667
129,93.320000,0.910000
130,94.025000,0.903333
131,94.719000,0.930000
132,95.374000,0.906667
133,95.987000,0.896667
134,96.631000,0.913333
135,97.200000,0.896667
136,97.853000,0.923333
137,98.620000,0.900000
138,99.314000,0.900000
139,100.051000,0.913333
140,100.698000,0.900000
141,101.338000,0.916667
142,101.983000,0.900000
143,102.668000,0.890000
144,103.671000,0.910000
145,104.590000,0.900000
146,105.250000,0.913333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,16,105.408,103.572,105.408,0.933333,0.236331,3024,457,2567,27082944,0.045000,0.005000,0.050000,75,0,0,true,true
