MONITORING_ITER,TIME_SEC,ACCURACY
1,1.353000,0.136667
2,1.443000,0.223333
3,1.511000,0.360000
4,1.556000,0.373333
5,1.598000,0.460000
6,1.644000,0.433333
7,1.675000,0.426667
8,1.720000,0.416667
9,1.755000,0.490000
10,1.792000,0.576667
11,1.824000,0.623333
12,1.881000,0.663333
13,1.907000,0.640000
14,1.944000,0.646667
15,1.971000,0.630000
16,2.008000,0.683333
17,2.046000,0.660000
18,2.073000,0.666667
19,2.108000,0.696667
20,2.142000,0.680000
21,2.233000,0.750000
22,2.269000,0.683333
23,2.298000,0.696667
24,2.329000,0.686667
25,2.356000,0.716667
26,2.383000,0.723333
27,2.410000,0.736667
28,2.444000,0.696667
29,2.471000,0.723333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,12,2.674,8.172,2.674,0.750000,0.946806,680,267,413,500480,0.045000,0.005000,0.050000,75,0,0,false,true
