MONITORING_ITER,TIME_SEC,ACCURACY
1,1.390000,0.076667
2,1.471000,0.323333
3,1.558000,0.343333
4,1.618000,0.473333
5,1.666000,0.463333
6,1.723000,0.550000
7,1.762000,0.563333
8,1.799000,0.543333
9,1.838000,0.566667
10,1.871000,0.613333
11,1.900000,0.616667
12,1.930000,0.603333
13,1.959000,0.636667
14,1.992000,0.676667
15,2.058000,0.653333
16,2.092000,0.710000
17,2.124000,0.700000
18,2.154000,0.716667
19,2.186000,0.726667
20,2.212000,0.690000
21,2.243000,0.756667
22,2.274000,0.766667
23,2.301000,0.753333
24,2.330000,0.766667
25,2.358000,0.740000
26,2.414000,0.800000
27,2.443000,0.810000
28,2.468000,0.813333
