MONITORING_ITER,TIME_SEC,ACCURACY
1,46.418000,0.266667
2,46.579000,0.293333
3,46.655000,0.370000
4,46.737000,0.410000
5,46.817000,0.446667
6,46.894000,0.476667
7,46.971000,0.523333
8,47.050000,0.526667
9,47.129000,0.566667
10,47.209000,0.656667
11,47.289000,0.633333
12,47.362000,0.670000
13,47.440000,0.590000
14,47.516000,0.650000
15,47.595000,0.616667
16,47.671000,0.623333
17,47.753000,0.703333
18,47.833000,0.660000
19,47.907000,0.630000
20,47.982000,0.696667
21,48.058000,0.726667
22,48.136000,0.730000
23,48.214000,0.650000
24,48.291000,0.710000
25,48.370000,0.720000
26,48.452000,0.743333
27,48.532000,0.753333
28,48.604000,0.706667
29,48.680000,0.723333
30,48.759000,0.716667
31,48.838000,0.700000
32,48.917000,0.756667
33,48.994000,0.713333
34,49.069000,0.740000
35,49.148000,0.756667
36,49.225000,0.740000
37,49.302000,0.756667
38,49.385000,0.723333
39,49.463000,0.740000
40,49.537000,0.746667
41,49.614000,0.740000
42,49.697000,0.776667
43,49.770000,0.736667
44,49.846000,0.740000
45,49.928000,0.773333
46,50.008000,0.783333
47,50.082000,0.800000
48,50.158000,0.743333
49,50.231000,0.783333
50,50.311000,0.786667
51,50.389000,0.786667
52,50.468000,0.783333
53,50.546000,0.773333
54,50.624000,0.750000
55,50.700000,0.780000
56,50.778000,0.800000
57,50.857000,0.793333
58,50.938000,0.793333
59,51.010000,0.786667
60,51.087000,0.773333
61,51.164000,0.793333
62,51.241000,0.786667
63,51.319000,0.746667
64,51.396000,0.796667
65,51.474000,0.783333
66,51.551000,0.806667
67,51.629000,0.816667
68,51.704000,0.800000
69,51.782000,0.783333
70,51.852000,0.786667
71,51.931000,0.810000
72,52.001000,0.806667
73,52.083000,0.810000
74,52.156000,0.800000
75,52.236000,0.773333
76,52.315000,0.823333
77,52.390000,0.823333
78,52.462000,0.810000
79,52.542000,0.780000
80,52.619000,0.800000
81,52.695000,0.833333
82,52.769000,0.813333
83,52.846000,0.796667
84,52.924000,0.800000
85,53.006000,0.780000
86,53.080000,0.803333
87,53.155000,0.856667
88,53.232000,0.790000
89,53.309000,0.796667
90,53.386000,0.826667
91,53.460000,0.823333
92,53.540000,0.820000
93,53.616000,0.810000
94,53.690000,0.790000
95,53.767000,0.803333
96,53.844000,0.810000
97,53.920000,0.826667
98,53.999000,0.793333
99,54.076000,0.800000
100,54.154000,0.820000
101,54.231000,0.823333
102,54.310000,0.840000
103,54.387000,0.800000
104,54.464000,0.793333
105,54.542000,0.823333
106,54.619000,0.810000
107,54.696000,0.813333
108,54.782000,0.803333
109,54.854000,0.773333
110,54.930000,0.833333
111,55.008000,0.816667
112,55.086000,0.860000
113,55.167000,0.786667
114,55.242000,0.800000
115,55.321000,0.806667
116,55.398000,0.820000
117,55.475000,0.826667
118,55.552000,0.803333
119,55.633000,0.800000
120,55.712000,0.796667
121,55.792000,0.823333
122,55.875000,0.823333
123,55.951000,0.813333
124,56.030000,0.786667
125,56.105000,0.810000
126,56.182000,0.823333
127,56.259000,0.833333
128,56.337000,0.796667
129,56.419000,0.800000
130,56.500000,0.796667
131,56.575000,0.826667
132,56.654000,0.843333
133,56.733000,0.813333
134,56.808000,0.803333
135,56.885000,0.810000
136,56.962000,0.823333
137,57.039000,0.836667
138,57.118000,0.806667
139,57.193000,0.810000
140,57.271000,0.806667
141,57.347000,0.816667
142,57.427000,0.850000
143,57.502000,0.810000
144,57.579000,0.803333
145,57.657000,0.820000
146,57.734000,0.823333
147,57.811000,0.843333
148,57.888000,0.813333
149,57.967000,0.803333
150,58.044000,0.820000
151,58.122000,0.806667
152,58.198000,0.856667
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,ENABLE_NEIGHBORHOODS,TOPOLOGY,ND4J_PROFILE
0,12,NaN,12.267,NaN,0.860000,0.728124,0,0,0,0,0.045000,0.005000,0.050000,75,0,0,false,true,false,true,true,true,cpu
