MONITORING_ITER,TIME_SEC,ACCURACY
1,7.168000,0.573333
2,7.456000,0.610000
3,7.913000,0.593333
4,10.427000,0.670000
5,12.879000,0.703333
6,17.701000,0.753333
7,22.653000,0.776667
8,28.737000,0.766667
9,33.501000,0.760000
10,36.118000,0.763333
11,67.564000,0.803333
12,68.679000,0.813333
13,69.774000,0.800000
14,71.428000,0.793333
15,72.009000,0.796667
16,73.176000,0.800000
17,73.277000,0.833333
18,74.904000,0.766667
19,75.046000,0.783333
20,76.151000,0.783333
21,76.915000,0.796667
22,77.389000,0.826667
23,78.844000,0.776667
24,79.007000,0.786667
25,80.971000,0.793333
26,82.429000,0.800000
27,83.909000,0.830000
28,84.120000,0.770000
29,85.475000,0.773333
30,86.350000,0.780000
31,87.260000,0.793333
32,87.776000,0.820000
33,89.075000,0.766667
34,90.464000,0.783333
35,91.035000,0.786667
36,92.279000,0.793333
37,93.025000,0.826667
38,94.381000,0.773333
39,96.063000,0.780000
40,97.262000,0.793333
41,98.981000,0.793333
42,99.856000,0.826667
43,101.897000,0.770000
44,104.333000,0.786667
45,106.285000,0.803333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,EARLY_STOPPING,HEAVY_SAMPLES,DATASET,ENABLE_NEIGHBORHOODS,TOPOLOGY,ND4J_PROFILE,AVG_NETWORK_DELAY
0,12,NaN,283.675,NaN,0.833333,0.795904,0,0,0,0,0.045000,0.005000,0.050000,75,0,0,false,true,false,true,true,true,cpu,307.7481737282508
