MONITORING_ITER,TIME_SEC,ACCURACY
1,7.131000,0.150000
2,9.399000,0.136667
3,11.487000,0.113333
4,13.468000,0.130000
5,16.094000,0.126667
6,19.262000,0.120000
7,22.239000,0.143333
8,25.874000,0.126667
9,30.834000,0.270000
10,32.632000,0.233333
11,34.568000,0.140000
12,36.721000,0.246667
13,38.895000,0.306667
14,41.076000,0.256667
15,43.324000,0.200000
16,46.263000,0.256667
17,49.130000,0.356667
18,52.273000,0.293333
19,55.507000,0.260000
20,58.060000,0.253333
21,60.126000,0.283333
22,62.530000,0.266667
23,66.296000,0.306667
24,69.898000,0.320000
25,71.880000,0.256667
26,73.771000,0.266667
27,75.705000,0.256667
28,77.660000,0.296667
29,79.646000,0.303333
30,81.844000,0.326667
31,84.913000,0.273333
32,88.206000,0.390000
33,91.011000,0.350000
34,93.669000,0.373333
35,95.605000,0.353333
36,97.496000,0.540000
37,99.769000,0.446667
38,102.882000,0.470000
39,106.706000,0.480000
40,108.779000,0.380000
41,110.790000,0.450000
42,113.606000,0.393333
43,116.302000,0.463333
44,118.736000,0.433333
45,120.801000,0.396667
46,123.150000,0.423333
47,126.421000,0.470000
48,129.968000,0.473333
49,132.547000,0.520000
50,135.062000,0.520000
51,137.303000,0.590000
52,139.663000,0.583333
53,143.673000,0.563333
54,146.007000,0.560000
55,148.129000,0.586667
56,150.791000,0.560000
57,153.395000,0.586667
58,155.700000,0.580000
59,158.650000,0.590000
60,161.939000,0.606667
61,165.010000,0.596667
62,168.339000,0.543333
63,171.892000,0.593333
64,174.271000,0.596667
65,176.538000,0.566667
66,180.023000,0.593333
67,182.495000,0.560000
68,184.641000,0.636667
69,187.005000,0.606667
70,190.086000,0.616667
71,192.565000,0.636667
72,195.040000,0.576667
73,197.291000,0.600000
74,199.553000,0.630000
75,201.889000,0.630000
76,204.155000,0.686667
77,206.181000,0.613333
78,208.463000,0.603333
79,210.771000,0.680000
80,214.315000,0.653333
81,216.323000,0.660000
82,218.500000,0.580000
83,221.143000,0.673333
84,223.481000,0.620000
85,226.560000,0.593333
86,229.807000,0.663333
87,233.123000,0.626667
88,236.418000,0.656667
89,239.604000,0.673333
90,243.369000,0.653333
91,246.604000,0.683333
92,251.324000,0.626667
93,253.794000,0.703333
94,255.945000,0.696667
95,258.262000,0.670000
96,261.838000,0.696667
97,265.383000,0.653333
98,268.775000,0.706667
99,270.969000,0.670000
100,273.352000,0.703333
101,276.984000,0.703333
102,280.135000,0.663333
103,282.671000,0.736667
104,286.639000,0.703333
105,289.401000,0.700000
106,291.907000,0.683333
107,295.072000,0.673333
108,298.373000,0.696667
109,300.697000,0.646667
110,303.370000,0.680000
111,305.453000,0.700000
112,307.859000,0.683333
113,310.131000,0.720000
114,312.452000,0.660000
115,315.023000,0.676667
116,317.846000,0.670000
117,321.308000,0.703333
118,323.837000,0.693333
119,326.126000,0.703333
120,329.071000,0.706667
121,332.305000,0.710000
122,335.590000,0.720000
123,339.192000,0.743333
124,342.572000,0.703333
125,345.809000,0.726667
126,348.258000,0.710000
127,350.559000,0.696667
128,352.818000,0.750000
129,356.594000,0.730000
130,359.497000,0.700000
131,362.334000,0.713333
132,365.161000,0.696667
133,367.875000,0.746667
134,370.385000,0.726667
135,373.265000,0.736667
136,376.814000,0.673333
137,380.083000,0.720000
138,383.288000,0.746667
139,386.880000,0.710000
140,391.514000,0.730000
141,395.110000,0.743333
142,397.369000,0.673333
143,400.069000,0.693333
144,402.449000,0.710000
145,405.489000,0.680000
146,408.313000,0.723333
147,410.799000,0.703333
148,413.198000,0.730000
149,415.793000,0.706667
150,418.269000,0.706667
151,420.824000,0.740000
152,423.821000,0.723333
153,426.366000,0.760000
154,428.443000,0.736667
155,430.635000,0.716667
156,432.831000,0.726667
157,434.948000,0.743333
158,437.495000,0.760000
159,441.204000,0.746667
160,444.582000,0.750000
161,447.722000,0.746667
162,450.892000,0.750000
163,453.710000,0.780000
164,456.449000,0.746667
165,460.068000,0.746667
166,462.993000,0.766667
167,466.373000,0.746667
168,470.151000,0.763333
169,473.800000,0.780000
170,477.393000,0.786667
171,481.134000,0.733333
172,484.938000,0.756667
173,487.801000,0.760000
174,490.433000,0.780000
175,493.951000,0.763333
176,496.629000,0.756667
177,499.954000,0.790000
178,502.476000,0.786667
179,504.727000,0.763333
180,507.025000,0.763333
181,509.767000,0.770000
182,512.254000,0.753333
183,514.878000,0.793333
184,517.353000,0.780000
185,519.724000,0.766667
186,522.484000,0.790000
187,525.623000,0.776667
188,529.093000,0.776667
189,531.489000,0.780000
190,533.957000,0.796667
191,536.888000,0.743333
192,540.100000,0.783333
193,542.817000,0.820000
194,545.529000,0.790000
195,548.684000,0.790000
196,551.355000,0.790000
197,554.039000,0.786667
198,556.469000,0.810000
199,559.080000,0.766667
200,561.443000,0.743333
201,564.734000,0.793333
202,567.403000,0.770000
203,569.943000,0.806667
204,572.501000,0.800000
205,574.862000,0.750000
206,577.308000,0.780000
207,580.065000,0.790000
208,583.638000,0.813333
209,587.240000,0.770000
210,591.233000,0.773333
211,594.183000,0.813333
212,596.498000,0.786667
213,599.851000,0.796667
214,602.230000,0.790000
215,604.399000,0.796667
216,606.699000,0.810000
217,609.202000,0.776667
218,611.764000,0.800000
219,614.069000,0.783333
220,616.237000,0.780000
221,618.798000,0.793333
222,621.914000,0.806667
223,624.327000,0.803333
224,626.552000,0.776667
225,628.779000,0.773333
226,631.067000,0.780000
227,634.617000,0.806667
228,636.716000,0.800000
229,638.759000,0.796667
230,641.081000,0.773333
231,643.520000,0.786667
232,645.657000,0.766667
233,647.958000,0.823333
234,650.040000,0.776667
235,652.913000,0.746667
236,655.757000,0.813333
237,658.448000,0.783333
238,661.765000,0.796667
239,664.526000,0.790000
240,668.642000,0.766667
241,672.657000,0.796667
242,675.973000,0.790000
243,679.657000,0.806667
244,682.407000,0.786667
245,684.516000,0.793333
246,686.567000,0.756667
247,688.801000,0.770000
248,691.129000,0.786667
249,693.300000,0.806667
250,695.617000,0.793333
251,697.821000,0.823333
252,700.039000,0.823333
253,702.170000,0.823333
254,704.994000,0.806667
255,707.190000,0.783333
256,709.714000,0.820000
257,712.639000,0.800000
258,715.434000,0.830000
259,718.458000,0.816667
260,722.213000,0.800000
261,724.614000,0.783333
262,727.139000,0.816667
263,730.326000,0.826667
264,734.154000,0.803333
265,736.902000,0.806667
266,740.064000,0.830000
267,742.187000,0.820000
268,744.412000,0.810000
269,747.086000,0.830000
270,750.446000,0.803333
271,753.205000,0.816667
272,755.841000,0.810000
273,758.464000,0.816667
274,761.408000,0.813333
275,764.295000,0.796667
276,766.938000,0.800000
277,769.934000,0.803333
278,772.934000,0.826667
279,776.134000,0.823333
280,779.162000,0.806667
281,781.741000,0.823333
282,784.283000,0.803333
283,787.266000,0.810000
284,790.785000,0.823333
285,794.828000,0.816667
286,798.033000,0.810000
287,800.434000,0.820000
288,803.174000,0.836667
289,806.232000,0.820000
290,809.467000,0.810000
291,812.264000,0.800000
292,814.884000,0.823333
293,817.309000,0.820000
294,819.916000,0.813333
295,822.471000,0.806667
296,825.375000,0.810000
297,828.385000,0.796667
298,831.686000,0.820000
299,834.551000,0.800000
300,837.092000,0.816667
301,839.194000,0.823333
302,841.391000,0.806667
303,844.623000,0.816667
304,846.930000,0.803333
305,849.396000,0.793333
306,852.256000,0.820000
307,855.113000,0.810000
308,858.323000,0.800000
309,861.009000,0.816667
310,864.503000,0.810000
311,866.918000,0.830000
312,869.241000,0.803333
313,872.774000,0.816667
314,876.582000,0.810000
315,880.274000,0.800000
316,883.001000,0.820000
317,885.503000,0.833333
318,888.424000,0.810000
319,891.478000,0.816667
320,894.164000,0.806667
321,896.885000,0.813333
322,899.623000,0.820000
323,902.335000,0.816667
324,904.943000,0.813333
325,907.479000,0.816667
326,910.416000,0.836667
327,913.766000,0.816667
328,916.272000,0.826667
LOSS_FUNCTION,HINGE,COMBINE_LOSS,AVG,REGULARIZER,NONE
MONITORING_ITER,TIME_SEC,ACCURACY
1,8.511000,0.163333
2,13.152000,0.216667
3,16.321000,0.273333
4,19.072000,0.290000
5,21.550000,0.346667
6,25.095000,0.333333
7,29.842000,0.340000
8,33.046000,0.363333
9,35.947000,0.446667
10,38.301000,0.340000
11,40.820000,0.400000
12,43.185000,0.406667
13,45.470000,0.380000
14,47.542000,0.400000
15,50.388000,0.426667
16,53.978000,0.470000
17,58.013000,0.466667
18,60.510000,0.476667
19,62.736000,0.460000
20,65.794000,0.453333
21,69.585000,0.423333
22,73.289000,0.403333
23,77.258000,0.466667
24,80.841000,0.503333
25,84.605000,0.510000
26,88.446000,0.473333
27,91.361000,0.530000
28,94.236000,0.540000
29,97.033000,0.530000
30,101.112000,0.533333
31,104.409000,0.550000
32,107.098000,0.530000
33,110.175000,0.580000
34,112.938000,0.580000
35,115.735000,0.600000
36,118.213000,0.590000
37,121.104000,0.580000
38,124.546000,0.616667
39,127.752000,0.610000
40,130.492000,0.626667
41,134.176000,0.580000
42,136.900000,0.593333
43,139.310000,0.623333
44,141.982000,0.576667
45,144.719000,0.616667
46,147.263000,0.630000
47,150.519000,0.610000
48,153.695000,0.656667
49,156.117000,0.620000
50,158.416000,0.636667
51,160.869000,0.626667
52,164.139000,0.633333
53,168.193000,0.613333
54,172.241000,0.630000
55,175.560000,0.640000
56,179.362000,0.656667
57,181.933000,0.616667
58,184.466000,0.606667
59,186.782000,0.636667
60,189.701000,0.653333
61,192.949000,0.643333
62,195.748000,0.633333
63,198.357000,0.643333
64,201.072000,0.636667
65,204.300000,0.643333
66,207.382000,0.630000
67,210.605000,0.613333
68,213.058000,0.656667
69,215.624000,0.636667
70,218.121000,0.663333
71,220.835000,0.650000
72,223.610000,0.636667
73,226.164000,0.670000
74,228.638000,0.623333
75,231.538000,0.656667
76,234.181000,0.643333
77,237.466000,0.633333
78,240.234000,0.670000
79,242.851000,0.633333
80,245.303000,0.640000
81,248.749000,0.656667
82,252.603000,0.633333
83,256.556000,0.646667
84,259.934000,0.613333
85,262.333000,0.656667
86,264.522000,0.630000
87,266.736000,0.633333
88,269.941000,0.660000
89,273.540000,0.643333
90,275.920000,0.646667
91,279.361000,0.640000
92,283.021000,0.640000
93,286.880000,0.656667
94,290.499000,0.623333
95,293.669000,0.656667
96,297.092000,0.660000
