MONITORING_ITER,TIME_SEC,ACCURACY
1,1.287000,0.303333
2,1.392000,0.270000
3,1.491000,0.363333
4,1.600000,0.390000
5,1.661000,0.370000
6,1.714000,0.376667
7,1.808000,0.376667
8,1.862000,0.326667
9,1.897000,0.376667
10,1.929000,0.423333
11,1.968000,0.403333
12,2.004000,0.446667
13,2.065000,0.400000
14,2.131000,0.386667
15,2.166000,0.410000
16,2.193000,0.406667
17,2.221000,0.436667
18,2.297000,0.400000
19,2.328000,0.410000
20,2.389000,0.463333
21,2.418000,0.423333
22,2.445000,0.456667
23,2.473000,0.416667
24,2.500000,0.420000
25,2.530000,0.453333
26,2.557000,0.446667
27,2.581000,0.480000
28,2.610000,0.443333
29,2.682000,0.486667
30,2.722000,0.490000
31,2.766000,0.466667
32,2.791000,0.503333
33,2.819000,0.443333
34,2.843000,0.466667
35,2.867000,0.460000
36,2.894000,0.463333
37,2.931000,0.530000
38,2.959000,0.450000
39,2.984000,0.490000
40,3.012000,0.513333
41,3.040000,0.483333
42,3.070000,0.520000
43,3.095000,0.456667
44,3.121000,0.506667
45,3.141000,0.503333
46,3.161000,0.496667
47,3.182000,0.553333
48,3.203000,0.530000
49,3.226000,0.533333
50,3.249000,0.520000
51,3.269000,0.506667
52,3.289000,0.593333
53,3.309000,0.513333
54,3.328000,0.543333
55,3.349000,0.536667
56,3.494000,0.536667
57,3.520000,0.606667
58,3.543000,0.510000
59,3.573000,0.543333
60,3.595000,0.510000
61,3.616000,0.486667
62,3.636000,0.570000
63,3.659000,0.540000
64,3.678000,0.566667
65,3.700000,0.580000
66,3.720000,0.553333
67,3.745000,0.586667
68,3.780000,0.530000
69,3.804000,0.543333
70,3.827000,0.563333
71,3.852000,0.566667
72,3.872000,0.623333
73,3.895000,0.533333
74,3.915000,0.563333
75,3.934000,0.586667
76,3.960000,0.560000
77,4.075000,0.586667
78,4.099000,0.553333
79,4.121000,0.560000
80,4.147000,0.583333
81,4.170000,0.566667
82,4.194000,0.613333
83,4.217000,0.560000
84,4.239000,0.590000
85,4.260000,0.603333
86,4.279000,0.603333
87,4.304000,0.643333
88,4.323000,0.563333
89,4.342000,0.600000
90,4.362000,0.616667
91,4.383000,0.593333
92,4.402000,0.656667
93,4.433000,0.573333
94,4.457000,0.613333
95,4.477000,0.620000
96,4.498000,0.603333
97,4.521000,0.653333
98,4.543000,0.583333
99,4.659000,0.630000
100,4.678000,0.623333
101,4.707000,0.613333
102,4.729000,0.663333
103,4.757000,0.593333
104,4.781000,0.620000
105,4.801000,0.633333
106,4.821000,0.613333
107,4.846000,0.680000
108,4.871000,0.590000
109,4.894000,0.633333
110,4.914000,0.620000
111,4.937000,0.613333
112,4.956000,0.673333
113,4.974000,0.580000
114,4.993000,0.623333
115,5.012000,0.640000
116,5.032000,0.603333
117,5.058000,0.686667
118,5.077000,0.600000
119,5.096000,0.640000
120,5.116000,0.660000
121,5.134000,0.640000
122,5.253000,0.720000
123,5.275000,0.640000
124,5.297000,0.673333
125,5.322000,0.656667
126,5.345000,0.643333
127,5.366000,0.716667
128,5.384000,0.640000
129,5.405000,0.676667
130,5.425000,0.666667
131,5.445000,0.650000
132,5.465000,0.723333
133,5.484000,0.650000
134,5.507000,0.673333
135,5.529000,0.683333
136,5.548000,0.670000
137,5.568000,0.726667
138,5.590000,0.646667
139,5.610000,0.713333
140,5.629000,0.686667
141,5.651000,0.676667
142,5.672000,0.720000
143,5.694000,0.636667
144,5.819000,0.680000
145,5.842000,0.680000
146,5.865000,0.703333
147,5.890000,0.730000
148,5.917000,0.663333
149,5.940000,0.693333
150,5.963000,0.680000
151,5.984000,0.680000
152,6.004000,0.726667
153,6.024000,0.680000
154,6.045000,0.723333
155,6.065000,0.683333
156,6.087000,0.683333
157,6.108000,0.736667
158,6.131000,0.686667
159,6.152000,0.706667
160,6.173000,0.693333
161,6.195000,0.703333
162,6.220000,0.746667
163,6.237000,0.676667
164,6.258000,0.703333
165,6.278000,0.693333
166,6.307000,0.686667
167,6.329000,0.746667
168,6.352000,0.673333
169,6.375000,0.720000
170,6.397000,0.703333
171,6.420000,0.696667
172,6.443000,0.746667
173,6.468000,0.663333
174,6.491000,0.716667
175,6.512000,0.710000
176,6.540000,0.696667
177,6.563000,0.753333
178,6.588000,0.683333
179,6.611000,0.710000
180,6.634000,0.683333
181,6.661000,0.703333
182,6.684000,0.743333
183,6.707000,0.676667
184,6.736000,0.726667
185,6.759000,0.693333
186,6.778000,0.706667
187,6.802000,0.753333
188,6.831000,0.680000
189,6.861000,0.723333
190,6.889000,0.706667
191,6.913000,0.716667
192,6.935000,0.750000
193,6.956000,0.673333
194,6.982000,0.720000
195,7.001000,0.696667
196,7.026000,0.706667
197,7.055000,0.743333
198,7.076000,0.676667
199,7.097000,0.730000
200,7.117000,0.703333
201,7.140000,0.710000
202,7.165000,0.756667
203,7.186000,0.686667
204,7.205000,0.736667
205,7.226000,0.703333
206,7.247000,0.706667
207,7.270000,0.740000
208,7.291000,0.673333
209,7.312000,0.736667
210,7.332000,0.706667
211,7.357000,0.716667
212,7.377000,0.746667
213,7.722000,0.680000
214,7.743000,0.733333
215,7.779000,0.693333
216,7.799000,0.693333
217,7.821000,0.753333
218,7.842000,0.680000
219,7.865000,0.716667
220,7.885000,0.686667
221,7.912000,0.716667
222,7.936000,0.750000
223,7.960000,0.686667
224,7.985000,0.730000
225,8.008000,0.706667
226,8.028000,0.700000
227,8.052000,0.743333
228,8.087000,0.673333
229,8.108000,0.733333
230,8.134000,0.706667
231,8.154000,0.706667
232,8.174000,0.753333
233,8.194000,0.686667
234,8.214000,0.730000
235,8.236000,0.693333
236,8.257000,0.703333
237,8.276000,0.753333
238,8.294000,0.686667
239,8.314000,0.726667
240,8.336000,0.706667
241,8.358000,0.713333
242,8.380000,0.753333
LOSS_FUNCTION,HINGE,COMBINE_LOSS,AVG,REGULARIZER,NONE
MONITORING_ITER,TIME_SEC,ACCURACY
1,1.254000,0.293333
2,1.283000,0.400000
3,1.318000,0.403333
4,1.351000,0.480000
5,1.392000,0.466667
6,1.425000,0.486667
7,1.457000,0.543333
8,1.486000,0.466667
9,1.513000,0.533333
10,1.540000,0.526667
11,1.568000,0.483333
12,1.594000,0.570000
13,1.619000,0.530000
14,1.645000,0.593333
15,1.669000,0.583333
16,1.691000,0.520000
17,1.714000,0.563333
18,1.738000,0.510000
19,1.763000,0.576667
20,1.782000,0.580000
21,1.802000,0.570000
22,1.828000,0.613333
23,1.849000,0.556667
24,1.874000,0.596667
25,1.902000,0.596667
26,1.926000,0.580000
27,1.947000,0.620000
28,1.969000,0.600000
29,1.996000,0.603333
30,2.022000,0.596667
31,2.051000,0.586667
32,2.081000,0.623333
33,2.105000,0.600000
34,2.133000,0.616667
35,2.155000,0.596667
36,2.182000,0.596667
37,2.204000,0.616667
38,2.223000,0.586667
39,2.247000,0.613333
40,2.269000,0.613333
41,2.298000,0.583333
42,2.318000,0.623333
43,2.340000,0.596667
44,2.363000,0.623333
45,2.384000,0.623333
46,2.615000,0.583333
47,2.634000,0.620000
48,2.655000,0.583333
49,2.676000,0.620000
50,2.697000,0.593333
51,2.720000,0.603333
52,2.743000,0.620000
53,2.768000,0.593333
54,2.789000,0.616667
55,2.811000,0.593333
56,2.835000,0.603333
57,2.857000,0.626667
58,2.879000,0.593333
59,2.900000,0.633333
60,2.920000,0.603333
61,2.943000,0.603333
62,2.963000,0.623333
63,2.982000,0.606667
64,3.002000,0.626667
