MONITORING_ITER,TIME_SEC,ACCURACY
1,5.722000,0.136667
2,7.320000,0.176667
3,9.103000,0.116667
4,10.478000,0.140000
5,11.378000,0.133333
6,12.343000,0.133333
7,13.722000,0.140000
8,15.408000,0.216667
9,16.768000,0.236667
10,18.370000,0.216667
11,19.864000,0.270000
12,21.486000,0.293333
13,23.281000,0.283333
14,24.435000,0.270000
15,25.390000,0.343333
16,26.697000,0.286667
17,29.150000,0.333333
18,31.295000,0.383333
19,33.270000,0.343333
20,35.111000,0.346667
21,36.179000,0.396667
22,37.203000,0.380000
23,38.244000,0.406667
24,39.425000,0.406667
25,40.495000,0.350000
26,42.139000,0.533333
27,43.366000,0.523333
28,44.578000,0.396667
29,45.703000,0.456667
30,46.898000,0.556667
31,48.072000,0.506667
32,49.416000,0.543333
33,50.731000,0.583333
34,52.025000,0.563333
35,53.273000,0.530000
36,54.570000,0.576667
37,55.906000,0.616667
38,57.051000,0.560000
39,58.182000,0.616667
40,59.495000,0.540000
41,60.847000,0.666667
42,62.000000,0.596667
43,63.158000,0.636667
44,64.293000,0.593333
45,65.787000,0.560000
46,67.633000,0.636667
47,70.839000,0.590000
48,73.741000,0.620000
49,75.575000,0.650000
50,77.183000,0.630000
51,78.216000,0.646667
52,79.255000,0.660000
53,80.278000,0.696667
54,81.995000,0.690000
55,83.688000,0.710000
56,85.493000,0.666667
57,87.322000,0.693333
58,89.057000,0.716667
59,90.712000,0.733333
60,92.255000,0.630000
61,93.694000,0.726667
62,95.562000,0.713333
63,97.154000,0.720000
64,98.489000,0.760000
65,99.606000,0.723333
66,100.623000,0.736667
67,101.636000,0.773333
68,102.641000,0.766667
69,103.837000,0.770000
70,104.914000,0.723333
71,105.964000,0.763333
72,107.163000,0.736667
73,108.442000,0.800000
74,109.813000,0.776667
75,111.377000,0.750000
76,113.635000,0.750000
77,115.770000,0.780000
78,117.092000,0.806667
79,118.191000,0.790000
80,119.254000,0.783333
81,120.947000,0.780000
82,122.351000,0.786667
83,123.485000,0.803333
84,124.959000,0.780000
85,126.626000,0.780000
86,128.110000,0.780000
87,129.680000,0.763333
88,131.106000,0.810000
89,132.838000,0.800000
90,134.335000,0.783333
91,135.692000,0.780000
92,136.773000,0.746667
93,137.865000,0.813333
94,138.890000,0.783333
95,140.152000,0.780000
96,142.011000,0.823333
97,143.510000,0.790000
98,144.936000,0.810000
99,146.223000,0.766667
100,147.496000,0.796667
101,148.550000,0.816667
102,150.348000,0.806667
103,152.802000,0.833333
104,154.616000,0.800000
105,155.717000,0.803333
106,156.813000,0.806667
107,157.793000,0.816667
108,159.421000,0.806667
109,161.204000,0.806667
110,163.190000,0.796667
111,165.094000,0.813333
112,166.502000,0.823333
113,167.566000,0.816667
114,168.621000,0.813333
115,169.748000,0.810000
116,170.958000,0.816667
117,172.099000,0.796667
118,173.339000,0.843333
119,174.611000,0.820000
120,175.694000,0.803333
121,176.829000,0.790000
122,178.103000,0.836667
123,179.298000,0.843333
124,180.684000,0.826667
125,182.041000,0.806667
126,183.332000,0.833333
127,185.020000,0.833333
128,187.227000,0.840000
129,190.380000,0.840000
130,192.773000,0.810000
131,194.195000,0.833333
132,195.690000,0.836667
133,196.830000,0.836667
134,198.028000,0.833333
135,199.243000,0.810000
136,200.520000,0.836667
137,201.786000,0.840000
138,203.047000,0.843333
139,204.281000,0.833333
140,205.437000,0.816667
141,206.596000,0.830000
142,208.176000,0.823333
143,210.121000,0.843333
144,211.965000,0.833333
145,213.352000,0.816667
146,214.909000,0.826667
147,216.222000,0.833333
148,217.893000,0.853333
149,219.226000,0.836667
150,220.324000,0.803333
151,221.414000,0.836667
152,222.592000,0.826667
153,223.896000,0.836667
154,225.313000,0.840000
155,228.083000,0.800000
156,230.419000,0.826667
157,231.645000,0.826667
158,233.024000,0.843333
159,234.505000,0.840000
160,235.808000,0.820000
161,237.151000,0.840000
162,238.516000,0.823333
163,239.849000,0.840000
164,241.218000,0.836667
165,242.514000,0.806667
166,243.979000,0.830000
167,245.540000,0.836667
168,246.768000,0.840000
169,248.269000,0.836667
170,249.629000,0.816667
171,250.948000,0.833333
172,252.302000,0.826667
173,253.663000,0.843333
174,254.962000,0.840000
175,256.269000,0.800000
176,257.617000,0.830000
177,258.964000,0.840000
178,260.332000,0.836667
179,261.510000,0.840000
180,262.594000,0.793333
181,263.879000,0.823333
182,266.450000,0.823333
183,268.779000,0.840000
184,270.247000,0.846667
185,271.538000,0.800000
186,272.887000,0.833333
187,274.223000,0.830000
188,275.682000,0.843333
189,277.140000,0.830000
190,278.724000,0.806667
191,280.527000,0.846667
192,282.171000,0.840000
193,283.762000,0.836667
194,285.422000,0.836667
195,287.311000,0.796667
196,289.022000,0.840000
197,290.719000,0.823333
198,292.375000,0.836667
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,24,292.632,288.016,292.632,0.853333,0.518238,6362,686,5676,23513952,0.045000,0.005000,0.050000,75,0,0,true,true
