MONITORING_ITER,TIME_SEC,ACCURACY
1,2.105000,0.203333
2,2.582000,0.220000
3,3.013000,0.243333
4,3.459000,0.390000
5,3.973000,0.180000
6,4.353000,0.376667
7,4.716000,0.236667
8,5.077000,0.193333
9,5.427000,0.393333
10,5.772000,0.340000
11,6.085000,0.373333
12,6.482000,0.346667
13,6.846000,0.360000
14,7.239000,0.386667
15,7.634000,0.266667
16,7.998000,0.490000
17,8.309000,0.330000
18,8.656000,0.476667
19,9.012000,0.416667
20,9.425000,0.443333
21,9.814000,0.530000
22,10.192000,0.480000
23,10.608000,0.573333
24,10.976000,0.660000
25,11.377000,0.730000
26,11.714000,0.646667
27,12.048000,0.703333
28,12.407000,0.716667
29,12.766000,0.766667
30,13.142000,0.800000
31,13.583000,0.846667
32,13.911000,0.793333
33,14.265000,0.796667
34,14.620000,0.780000
35,15.044000,0.826667
36,15.425000,0.806667
37,15.804000,0.836667
38,16.158000,0.796667
39,16.482000,0.886667
40,16.849000,0.846667
41,17.253000,0.873333
42,17.618000,0.866667
43,18.048000,0.840000
44,18.460000,0.850000
45,18.873000,0.890000
46,19.319000,0.863333
47,19.740000,0.850000
48,20.183000,0.853333
49,20.594000,0.880000
50,21.045000,0.900000
51,21.496000,0.856667
52,21.870000,0.880000
53,22.246000,0.886667
54,22.690000,0.906667
55,23.066000,0.906667
56,23.454000,0.893333
57,23.790000,0.906667
58,24.157000,0.906667
59,24.548000,0.883333
60,25.068000,0.903333
61,25.470000,0.873333
62,25.857000,0.920000
63,26.239000,0.940000
64,26.669000,0.906667
65,27.120000,0.896667
66,27.546000,0.906667
67,27.929000,0.893333
68,28.347000,0.916667
69,28.611000,0.916667
70,28.970000,0.913333
71,29.348000,0.900000
72,29.752000,0.903333
73,30.194000,0.906667
74,30.628000,0.910000
75,31.171000,0.913333
76,31.765000,0.900000
77,32.248000,0.900000
78,32.613000,0.906667
79,32.921000,0.923333
80,33.355000,0.903333
81,33.772000,0.916667
82,34.150000,0.920000
83,34.454000,0.920000
84,34.771000,0.916667
85,35.075000,0.903333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,12,41.152,63.627,41.152,0.940000,0.261935,1624,346,1278,14544544,0.045000,0.005000,0.050000,75,0,0,true,true,true,true,mnist5
