MONITORING_ITER,TIME_SEC,ACCURACY
1,1.367000,0.096667
2,1.423000,0.116667
3,1.522000,0.183333
4,1.591000,0.140000
5,1.652000,0.266667
6,1.737000,0.316667
7,1.787000,0.263333
8,1.838000,0.293333
9,1.885000,0.310000
10,1.936000,0.276667
11,1.978000,0.363333
12,2.030000,0.356667
13,2.098000,0.286667
14,2.151000,0.383333
15,2.199000,0.406667
16,2.253000,0.220000
17,2.308000,0.270000
18,2.359000,0.306667
19,2.413000,0.350000
20,2.438000,0.453333
21,2.459000,0.446667
22,2.483000,0.500000
23,2.508000,0.516667
24,2.529000,0.550000
25,2.551000,0.493333
26,2.572000,0.483333
27,2.593000,0.543333
28,2.615000,0.533333
29,2.645000,0.563333
30,2.667000,0.580000
31,2.691000,0.623333
32,2.712000,0.606667
33,2.738000,0.603333
34,2.763000,0.560000
35,2.788000,0.536667
36,2.808000,0.556667
37,2.829000,0.596667
38,2.847000,0.510000
39,2.865000,0.466667
40,2.881000,0.560000
41,2.901000,0.573333
42,2.987000,0.493333
43,3.007000,0.543333
44,3.024000,0.500000
45,3.040000,0.556667
46,3.057000,0.513333
47,3.079000,0.473333
48,3.097000,0.560000
49,3.121000,0.486667
50,3.158000,0.546667
51,3.187000,0.593333
52,3.204000,0.510000
53,3.244000,0.580000
54,3.260000,0.526667
55,3.285000,0.523333
56,3.306000,0.526667
57,3.326000,0.513333
58,3.348000,0.470000
59,3.364000,0.613333
60,3.381000,0.523333
61,3.398000,0.553333
62,3.413000,0.553333
63,3.428000,0.616667
64,3.444000,0.586667
65,3.459000,0.500000
66,3.474000,0.623333
67,3.490000,0.646667
68,3.514000,0.523333
69,3.535000,0.556667
70,3.552000,0.546667
71,3.566000,0.603333
72,3.586000,0.583333
73,3.604000,0.610000
74,3.624000,0.546667
75,3.642000,0.653333
76,3.657000,0.583333
77,3.682000,0.630000
78,3.701000,0.590000
79,3.719000,0.626667
80,3.741000,0.573333
81,3.838000,0.653333
82,3.857000,0.650000
83,3.877000,0.620000
84,3.895000,0.523333
85,3.918000,0.520000
86,3.938000,0.666667
87,3.953000,0.670000
88,3.974000,0.566667
89,3.994000,0.626667
90,4.011000,0.536667
91,4.027000,0.640000
92,4.043000,0.610000
93,4.061000,0.643333
94,4.078000,0.543333
95,4.095000,0.536667
96,4.115000,0.653333
97,4.132000,0.610000
98,4.150000,0.560000
99,4.165000,0.586667
100,4.180000,0.586667
101,4.193000,0.553333
102,4.210000,0.586667
103,4.225000,0.593333
104,4.241000,0.590000
105,4.258000,0.593333
106,4.275000,0.576667
107,4.291000,0.670000
108,4.305000,0.583333
109,4.320000,0.660000
110,4.336000,0.603333
111,4.351000,0.596667
112,4.364000,0.663333
113,4.378000,0.603333
114,4.391000,0.603333
115,4.405000,0.563333
116,4.419000,0.573333
117,4.433000,0.630000
118,4.446000,0.583333
119,4.461000,0.620000
120,4.475000,0.556667
121,4.490000,0.600000
122,4.586000,0.610000
123,4.602000,0.626667
124,4.620000,0.593333
125,4.636000,0.563333
126,4.653000,0.590000
127,4.673000,0.560000
128,4.688000,0.573333
129,4.702000,0.573333
130,4.719000,0.580000
131,4.733000,0.613333
132,4.748000,0.606667
133,4.762000,0.543333
134,4.778000,0.610000
135,4.793000,0.556667
136,4.809000,0.590000
137,4.825000,0.590000
138,4.841000,0.613333
139,4.856000,0.623333
140,4.872000,0.560000
141,4.888000,0.676667
142,4.902000,0.620000
143,4.918000,0.590000
144,4.934000,0.606667
145,4.949000,0.596667
146,4.965000,0.600000
147,4.978000,0.650000
148,4.992000,0.586667
149,5.006000,0.650000
150,5.023000,0.573333
151,5.041000,0.653333
152,5.055000,0.646667
153,5.068000,0.606667
154,5.081000,0.646667
155,5.095000,0.516667
156,5.109000,0.626667
157,5.124000,0.653333
158,5.140000,0.616667
159,5.155000,0.656667
160,5.252000,0.613333
161,5.267000,0.640000
162,5.285000,0.673333
163,5.301000,0.620000
164,5.316000,0.676667
165,5.332000,0.663333
166,5.349000,0.673333
167,5.366000,0.650000
168,5.379000,0.713333
169,5.395000,0.640000
170,5.411000,0.740000
171,5.428000,0.703333
172,5.442000,0.716667
173,5.459000,0.650000
174,5.472000,0.630000
175,5.486000,0.716667
176,5.502000,0.660000
177,5.518000,0.733333
178,5.534000,0.673333
179,5.549000,0.700000
180,5.564000,0.716667
181,5.581000,0.736667
182,5.597000,0.706667
183,5.614000,0.663333
184,5.634000,0.720000
185,5.649000,0.666667
186,5.663000,0.753333
187,5.678000,0.690000
188,5.692000,0.723333
189,5.706000,0.680000
190,5.722000,0.723333
191,5.738000,0.650000
192,5.752000,0.760000
193,5.767000,0.680000
194,5.784000,0.693333
195,5.800000,0.706667
196,5.815000,0.710000
197,5.832000,0.730000
198,5.847000,0.690000
199,5.863000,0.683333
200,5.881000,0.706667
201,5.895000,0.693333
202,5.911000,0.716667
203,5.928000,0.703333
204,5.943000,0.733333
205,5.959000,0.670000
206,5.975000,0.726667
207,5.990000,0.740000
208,6.009000,0.700000
209,6.024000,0.726667
210,6.047000,0.673333
211,6.063000,0.730000
212,6.078000,0.773333
213,6.093000,0.700000
214,6.112000,0.720000
215,6.127000,0.693333
216,6.141000,0.786667
217,6.154000,0.756667
218,6.170000,0.733333
219,6.184000,0.706667
220,6.199000,0.743333
221,6.214000,0.756667
222,6.229000,0.753333
223,6.245000,0.713333
224,6.258000,0.716667
225,6.270000,0.700000
226,6.284000,0.746667
227,6.298000,0.763333
228,6.313000,0.713333
229,6.326000,0.730000
230,6.340000,0.670000
231,6.353000,0.796667
232,6.368000,0.770000
233,6.383000,0.740000
234,6.396000,0.730000
235,6.572000,0.726667
236,6.587000,0.790000
237,6.603000,0.766667
238,6.620000,0.763333
239,6.634000,0.770000
240,6.649000,0.726667
241,6.663000,0.780000
242,6.678000,0.713333
243,6.693000,0.750000
244,6.709000,0.706667
245,6.728000,0.733333
246,6.743000,0.783333
247,6.757000,0.746667
248,6.772000,0.756667
249,6.792000,0.743333
250,6.806000,0.713333
251,6.820000,0.733333
252,6.832000,0.740000
253,6.848000,0.723333
254,6.861000,0.743333
255,6.876000,0.693333
256,6.890000,0.776667
257,6.904000,0.686667
258,6.919000,0.743333
259,6.933000,0.693333
260,6.947000,0.733333
261,6.960000,0.710000
262,6.974000,0.736667
263,6.989000,0.710000
264,7.008000,0.656667
265,7.023000,0.720000
266,7.036000,0.760000
267,7.055000,0.726667
268,7.075000,0.726667
269,7.088000,0.700000
270,7.102000,0.720000
271,7.117000,0.763333
272,7.131000,0.723333
273,7.144000,0.726667
274,7.156000,0.713333
275,7.168000,0.676667
276,7.181000,0.773333
277,7.195000,0.746667
278,7.208000,0.726667
279,7.222000,0.753333
280,7.236000,0.700000
281,7.250000,0.773333
282,7.262000,0.720000
283,7.277000,0.730000
284,7.294000,0.753333
285,7.309000,0.726667
286,7.322000,0.780000
287,7.335000,0.723333
288,7.347000,0.730000
289,7.361000,0.706667
290,7.375000,0.736667
291,7.390000,0.750000
292,7.402000,0.726667
293,7.417000,0.750000
294,7.430000,0.733333
295,7.443000,0.716667
296,7.455000,0.773333
297,7.469000,0.730000
298,7.482000,0.726667
299,7.494000,0.680000
300,7.509000,0.733333
301,7.524000,0.750000
302,7.537000,0.750000
303,7.549000,0.706667
304,7.563000,0.736667
305,7.575000,0.720000
306,7.588000,0.776667
307,7.599000,0.740000
308,7.613000,0.726667
309,7.628000,0.680000
310,7.800000,0.726667
311,7.817000,0.763333
312,7.833000,0.750000
313,7.849000,0.766667
314,7.864000,0.723333
315,7.879000,0.713333
316,7.895000,0.780000
317,7.912000,0.776667
318,7.928000,0.726667
319,7.945000,0.770000
320,7.964000,0.726667
321,7.979000,0.786667
322,7.996000,0.743333
323,8.014000,0.770000
324,8.032000,0.723333
325,8.046000,0.730000
326,8.061000,0.790000
327,8.076000,0.793333
328,8.093000,0.756667
329,8.110000,0.753333
330,8.127000,0.696667
331,8.146000,0.780000
332,8.160000,0.706667
333,8.174000,0.760000
334,8.187000,0.703333
335,8.201000,0.706667
336,8.216000,0.756667
337,8.231000,0.796667
338,8.248000,0.706667
339,8.264000,0.763333
340,8.282000,0.713333
341,8.299000,0.763333
342,8.316000,0.746667
343,8.331000,0.743333
344,8.347000,0.753333
345,8.361000,0.706667
346,8.376000,0.816667
347,8.391000,0.736667
348,8.407000,0.716667
349,8.424000,0.746667
350,8.437000,0.750000
351,8.451000,0.780000
352,8.466000,0.790000
353,8.482000,0.766667
354,8.496000,0.740000
355,8.510000,0.733333
356,8.529000,0.793333
357,8.542000,0.766667
358,8.556000,0.773333
359,8.572000,0.743333
360,8.585000,0.746667
361,8.598000,0.766667
362,8.611000,0.776667
363,8.628000,0.740000
364,8.642000,0.776667
365,8.655000,0.730000
366,8.669000,0.796667
367,8.682000,0.760000
368,8.696000,0.756667
369,8.711000,0.780000
370,8.730000,0.736667
371,8.744000,0.773333
372,8.758000,0.773333
373,8.773000,0.773333
374,8.786000,0.743333
375,8.800000,0.723333
376,8.814000,0.786667
377,8.827000,0.763333
378,8.841000,0.776667
379,8.854000,0.730000
380,8.868000,0.753333
381,8.881000,0.773333
382,8.893000,0.760000
383,9.069000,0.756667
384,9.084000,0.750000
385,9.098000,0.716667
386,9.114000,0.813333
387,9.129000,0.776667
388,9.145000,0.790000
389,9.161000,0.780000
390,9.176000,0.713333
391,9.192000,0.813333
392,9.207000,0.770000
393,9.224000,0.740000
394,9.241000,0.770000
395,9.258000,0.716667
396,9.273000,0.816667
397,9.288000,0.756667
398,9.305000,0.776667
399,9.318000,0.766667
400,9.332000,0.746667
401,9.348000,0.793333
402,9.361000,0.763333
403,9.378000,0.770000
404,9.392000,0.763333
405,9.406000,0.763333
406,9.418000,0.793333
407,9.431000,0.756667
408,9.445000,0.770000
409,9.457000,0.770000
410,9.470000,0.736667
411,9.482000,0.786667
412,9.496000,0.743333
413,9.509000,0.753333
414,9.522000,0.776667
415,9.536000,0.743333
416,9.550000,0.776667
417,9.564000,0.733333
418,9.578000,0.760000
419,9.594000,0.740000
420,9.607000,0.723333
421,9.622000,0.836667
422,9.637000,0.713333
423,9.651000,0.766667
424,9.665000,0.783333
425,9.679000,0.730000
426,9.695000,0.806667
427,9.710000,0.756667
428,9.724000,0.753333
429,9.737000,0.763333
430,9.752000,0.713333
431,9.768000,0.826667
432,9.782000,0.760000
433,9.794000,0.770000
434,9.808000,0.766667
435,9.821000,0.746667
436,9.834000,0.796667
437,9.849000,0.803333
438,9.863000,0.766667
439,9.877000,0.780000
440,9.892000,0.703333
441,9.912000,0.806667
442,9.923000,0.720000
443,9.936000,0.750000
444,9.946000,0.736667
445,9.959000,0.746667
446,9.974000,0.813333
447,9.987000,0.763333
448,10.000000,0.773333
449,10.015000,0.760000
450,10.029000,0.740000
451,10.043000,0.796667
452,10.058000,0.773333
453,10.072000,0.780000
454,10.090000,0.783333
455,10.106000,0.746667
456,10.126000,0.796667
457,10.144000,0.783333
458,10.157000,0.766667
459,10.345000,0.760000
460,10.364000,0.743333
461,10.382000,0.786667
462,10.399000,0.770000
463,10.417000,0.780000
464,10.439000,0.786667
465,10.458000,0.730000
466,10.476000,0.816667
467,10.493000,0.770000
468,10.508000,0.780000
469,10.522000,0.783333
470,10.535000,0.696667
471,10.549000,0.806667
472,10.563000,0.763333
473,10.578000,0.770000
474,10.592000,0.783333
475,10.607000,0.740000
476,10.621000,0.793333
477,10.637000,0.800000
478,10.652000,0.776667
479,10.668000,0.776667
480,10.683000,0.733333
481,10.698000,0.823333
482,10.715000,0.780000
483,10.731000,0.793333
484,10.746000,0.766667
485,10.762000,0.763333
486,10.778000,0.796667
487,10.794000,0.803333
488,10.810000,0.783333
489,10.825000,0.746667
490,10.840000,0.756667
491,10.856000,0.800000
492,10.872000,0.773333
493,10.889000,0.756667
494,10.905000,0.793333
495,10.924000,0.756667
496,10.939000,0.810000
497,10.954000,0.803333
498,10.969000,0.790000
499,10.985000,0.770000
500,11.004000,0.766667
501,11.018000,0.786667
502,11.035000,0.783333
503,11.050000,0.783333
504,11.065000,0.773333
505,11.079000,0.770000
506,11.093000,0.796667
507,11.109000,0.803333
508,11.124000,0.796667
509,11.138000,0.763333
510,11.154000,0.763333
511,11.169000,0.813333
512,11.185000,0.786667
513,11.202000,0.780000
514,11.217000,0.770000
515,11.231000,0.726667
516,11.247000,0.813333
517,11.261000,0.780000
518,11.277000,0.776667
519,11.291000,0.783333
520,11.307000,0.716667
521,11.324000,0.776667
522,11.338000,0.796667
523,11.354000,0.763333
524,11.371000,0.783333
525,11.385000,0.740000
526,11.399000,0.810000
527,11.416000,0.806667
528,11.433000,0.786667
529,11.448000,0.763333
530,11.469000,0.730000
531,11.489000,0.770000
532,11.502000,0.786667
533,11.515000,0.780000
534,11.530000,0.773333
535,11.544000,0.743333
536,11.562000,0.806667
537,11.579000,0.760000
538,11.596000,0.796667
539,11.611000,0.770000
540,11.627000,0.750000
541,11.642000,0.756667
542,11.657000,0.790000
543,11.673000,0.786667
544,11.688000,0.756667
545,11.702000,0.753333
546,11.716000,0.786667
547,11.731000,0.773333
548,11.746000,0.786667
549,11.762000,0.793333
550,11.778000,0.723333
551,11.792000,0.840000
552,11.806000,0.793333
553,11.820000,0.780000
554,11.834000,0.790000
555,11.848000,0.726667
556,11.862000,0.816667
557,11.876000,0.790000
558,11.890000,0.773333
559,11.905000,0.793333
560,11.919000,0.743333
561,11.933000,0.806667
562,11.947000,0.810000
563,11.960000,0.760000
564,11.975000,0.790000
565,11.988000,0.756667
566,12.002000,0.783333
567,12.017000,0.796667
568,12.031000,0.780000
569,12.057000,0.756667
570,12.074000,0.770000
571,12.089000,0.830000
572,12.108000,0.810000
573,12.123000,0.763333
574,12.136000,0.753333
575,12.150000,0.756667
576,12.166000,0.813333
577,12.182000,0.810000
578,12.196000,0.763333
579,12.217000,0.756667
580,12.233000,0.750000
581,12.247000,0.820000
582,12.262000,0.806667
583,12.276000,0.770000
584,12.290000,0.786667
585,12.307000,0.783333
586,12.324000,0.803333
587,12.338000,0.786667
588,12.354000,0.776667
589,12.370000,0.780000
590,12.386000,0.763333
591,12.402000,0.786667
592,12.415000,0.796667
593,12.428000,0.763333
594,12.442000,0.763333
595,12.457000,0.766667
596,12.473000,0.810000
597,12.488000,0.790000
598,12.506000,0.750000
599,12.523000,0.786667
600,12.538000,0.760000
601,12.553000,0.793333
602,12.568000,0.803333
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,6,14.875,20.246,14.875,0.840000,1.001857,4374,182,4192,15536448,0.045000,0.005000,0.050000,75,0,0,true,true,false,true,pendigits
