MONITORING_ITER,TIME_SEC,ACCURACY
1,2.039000,0.486667
2,2.228000,0.593333
3,2.476000,0.580000
4,2.626000,0.610000
5,2.729000,0.633333
6,2.800000,0.636667
7,2.864000,0.626667
8,2.927000,0.666667
9,2.995000,0.666667
10,3.048000,0.686667
11,3.126000,0.646667
12,3.201000,0.610000
13,3.275000,0.616667
14,3.381000,0.716667
15,3.518000,0.716667
16,3.651000,0.730000
17,3.759000,0.720000
18,3.899000,0.743333
19,4.049000,0.743333
20,4.172000,0.713333
21,4.292000,0.756667
22,4.412000,0.750000
23,4.537000,0.776667
24,4.684000,0.756667
25,4.873000,0.746667
26,5.080000,0.750000
27,5.281000,0.746667
28,5.466000,0.780000
29,5.666000,0.750000
30,5.824000,0.733333
31,5.923000,0.770000
32,6.040000,0.763333
33,6.201000,0.796667
34,6.384000,0.776667
35,6.487000,0.710000
36,6.614000,0.780000
37,6.748000,0.756667
38,6.881000,0.796667
39,7.009000,0.760000
40,7.123000,0.756667
41,7.246000,0.793333
42,7.357000,0.776667
43,7.472000,0.800000
44,7.620000,0.770000
45,7.724000,0.760000
46,7.835000,0.780000
47,7.975000,0.763333
48,8.114000,0.810000
49,8.216000,0.783333
50,8.306000,0.790000
51,8.419000,0.793333
52,8.525000,0.793333
53,8.665000,0.776667
54,8.785000,0.773333
55,8.907000,0.773333
56,9.046000,0.783333
57,9.160000,0.770000
58,9.274000,0.783333
59,9.376000,0.776667
60,9.492000,0.776667
61,9.607000,0.806667
62,9.727000,0.793333
63,9.829000,0.786667
64,9.910000,0.780000
65,9.989000,0.766667
66,10.110000,0.810000
67,10.247000,0.753333
68,10.369000,0.776667
69,10.506000,0.793333
70,10.641000,0.776667
71,10.769000,0.800000
72,10.911000,0.776667
73,11.062000,0.746667
74,11.171000,0.763333
75,11.302000,0.713333
76,11.421000,0.790000
77,11.523000,0.803333
78,11.629000,0.773333
79,11.800000,0.770000
80,11.996000,0.773333
81,12.136000,0.780000
82,12.275000,0.736667
83,12.399000,0.783333
84,12.536000,0.730000
85,12.669000,0.766667
86,12.824000,0.810000
87,12.982000,0.776667
88,13.102000,0.750000
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,16,13.180,12.031,13.180,0.810000,0.521473,1701,189,1512,224532,0.045000,0.005000,0.050000,75,0,0,false,true,true,true,susy
