MONITORING_ITER,TIME_SEC,ACCURACY
1,1.568000,0.603333
2,1.677000,0.893333
3,1.740000,0.826667
4,1.804000,0.880000
5,1.867000,0.950000
6,1.932000,0.910000
7,1.989000,0.923333
8,2.054000,0.936667
9,2.132000,0.973333
10,2.234000,0.980000
11,2.276000,0.970000
12,2.332000,0.953333
13,2.372000,0.970000
14,2.423000,0.973333
15,2.462000,0.963333
16,2.501000,0.973333
17,2.544000,0.970000
18,2.578000,0.973333
19,2.619000,0.953333
20,2.661000,0.956667
21,2.712000,0.966667
22,2.745000,0.966667
23,2.777000,0.976667
24,2.806000,0.973333
25,2.881000,0.953333
26,2.914000,0.966667
27,2.946000,0.980000
28,3.017000,0.966667
29,3.049000,0.963333
30,3.083000,0.973333
31,3.126000,0.956667
32,3.160000,0.966667
33,3.204000,0.980000
34,3.244000,0.976667
35,3.283000,0.970000
36,3.313000,0.976667
37,3.342000,0.973333
38,3.376000,0.956667
39,3.409000,0.980000
40,3.441000,0.960000
41,3.486000,0.986667
42,3.522000,0.983333
43,3.560000,0.960000
44,3.590000,0.973333
45,3.619000,0.966667
46,3.651000,0.973333
47,3.686000,0.973333
48,3.735000,0.973333
49,3.833000,0.956667
50,3.932000,0.966667
51,4.016000,0.973333
52,4.184000,0.970000
53,4.300000,0.980000
54,4.341000,0.953333
55,4.404000,0.960000
56,4.431000,0.973333
57,4.454000,0.963333
58,4.480000,0.950000
59,4.512000,0.966667
60,4.545000,0.963333
61,4.575000,0.960000
62,4.613000,0.963333
63,4.643000,0.953333
64,4.683000,0.953333
65,4.710000,0.960000
66,4.739000,0.953333
67,4.766000,0.960000
68,4.828000,0.953333
69,4.898000,0.950000
70,4.922000,0.963333
71,4.959000,0.943333
72,4.989000,0.970000
73,5.016000,0.953333
74,5.042000,0.953333
75,5.071000,0.943333
76,5.093000,0.963333
77,5.127000,0.956667
78,5.163000,0.973333
79,5.192000,0.943333
80,5.217000,0.960000
81,5.242000,0.936667
82,5.276000,0.953333
83,5.312000,0.946667
84,5.340000,0.960000
85,5.367000,0.966667
86,5.395000,0.956667
87,5.424000,0.966667
88,5.452000,0.963333
89,5.482000,0.956667
90,5.514000,0.960000
91,5.543000,0.953333
92,5.565000,0.946667
93,5.587000,0.960000
94,5.607000,0.966667
95,5.629000,0.956667
96,5.651000,0.963333
97,5.672000,0.960000
98,5.741000,0.976667
99,5.768000,0.963333
100,5.795000,0.956667
101,5.819000,0.963333
102,5.850000,0.963333
103,5.873000,0.953333
104,5.901000,0.973333
105,5.927000,0.963333
106,5.953000,0.953333
107,5.978000,0.970000
108,6.004000,0.960000
109,6.029000,0.966667
110,6.052000,0.963333
111,6.076000,0.970000
112,6.099000,0.960000
113,6.128000,0.960000
114,6.155000,0.963333
115,6.184000,0.963333
116,6.212000,0.963333
117,6.235000,0.960000
118,6.255000,0.960000
119,6.275000,0.960000
120,6.296000,0.956667
121,6.319000,0.963333
122,6.346000,0.960000
123,6.373000,0.963333
124,6.402000,0.963333
125,6.427000,0.963333
126,6.451000,0.956667
127,6.526000,0.970000
128,6.552000,0.960000
129,6.580000,0.973333
130,6.604000,0.953333
131,6.629000,0.970000
132,6.655000,0.963333
133,6.681000,0.963333
134,6.708000,0.960000
135,6.731000,0.963333
136,6.756000,0.963333
137,6.785000,0.950000
138,6.820000,0.963333
139,6.845000,0.960000
140,6.872000,0.953333
141,6.896000,0.970000
142,6.925000,0.963333
143,6.953000,0.963333
144,6.976000,0.966667
145,7.001000,0.956667
146,7.026000,0.963333
147,7.047000,0.960000
148,7.074000,0.966667
149,7.102000,0.980000
150,7.127000,0.953333
151,7.154000,0.970000
152,7.179000,0.956667
153,7.206000,0.963333
154,7.229000,0.973333
155,7.258000,0.956667
156,7.333000,0.953333
157,7.378000,0.956667
158,7.416000,0.976667
159,7.452000,0.966667
160,7.485000,0.966667
161,7.521000,0.963333
162,7.543000,0.963333
163,7.564000,0.956667
164,7.585000,0.956667
165,7.608000,0.970000
166,7.630000,0.970000
167,7.651000,0.946667
168,7.673000,0.973333
169,7.699000,0.976667
170,7.729000,0.963333
171,7.759000,0.960000
172,7.787000,0.970000
173,7.819000,0.956667
174,7.846000,0.960000
175,7.874000,0.970000
176,7.899000,0.960000
177,7.926000,0.963333
178,7.950000,0.973333
179,7.977000,0.963333
180,8.003000,0.960000
181,8.027000,0.970000
182,8.051000,0.963333
183,8.077000,0.970000
184,8.115000,0.963333
185,8.199000,0.960000
186,8.242000,0.970000
187,8.280000,0.970000
188,8.317000,0.966667
189,8.343000,0.963333
190,8.371000,0.966667
191,8.392000,0.960000
192,8.416000,0.963333
193,8.441000,0.963333
194,8.465000,0.963333
195,8.489000,0.970000
196,8.528000,0.960000
197,8.555000,0.970000
198,8.583000,0.963333
199,8.607000,0.963333
200,8.633000,0.966667
201,8.660000,0.956667
202,8.684000,0.963333
203,8.713000,0.973333
204,8.744000,0.953333
205,8.775000,0.966667
206,8.797000,0.960000
207,8.818000,0.973333
208,8.840000,0.960000
209,8.864000,0.970000
210,8.887000,0.970000
211,8.908000,0.960000
212,8.932000,0.980000
213,8.956000,0.960000
214,8.982000,0.970000
215,9.008000,0.970000
216,9.035000,0.966667
217,9.067000,0.976667
218,9.092000,0.973333
219,9.116000,0.963333
220,9.137000,0.966667
221,9.159000,0.960000
222,9.179000,0.973333
223,9.201000,0.976667
224,9.223000,0.976667
225,9.244000,0.970000
226,9.265000,0.973333
227,9.289000,0.970000
228,9.315000,0.970000
229,9.341000,0.980000
230,9.369000,0.970000
231,9.396000,0.973333
232,9.423000,0.976667
233,9.450000,0.966667
234,9.476000,0.963333
235,9.583000,0.970000
236,9.606000,0.960000
237,9.633000,0.966667
238,9.663000,0.953333
239,9.692000,0.973333
240,9.716000,0.970000
241,9.739000,0.966667
242,9.762000,0.963333
243,9.785000,0.980000
244,9.806000,0.970000
245,9.828000,0.966667
246,9.851000,0.966667
247,9.878000,0.970000
248,9.901000,0.970000
249,9.926000,0.966667
250,9.953000,0.973333
251,9.981000,0.966667
252,10.002000,0.976667
253,10.024000,0.963333
254,10.048000,0.966667
255,10.072000,0.970000
256,10.091000,0.976667
257,10.118000,0.973333
258,10.145000,0.960000
259,10.171000,0.970000
260,10.198000,0.973333
261,10.224000,0.970000
262,10.245000,0.963333
263,10.267000,0.963333
264,10.292000,0.963333
265,10.319000,0.970000
266,10.345000,0.976667
267,10.374000,0.960000
268,10.401000,0.963333
269,10.430000,0.966667
270,10.451000,0.966667
271,10.471000,0.966667
272,10.493000,0.976667
273,10.513000,0.966667
274,10.533000,0.966667
275,10.555000,0.960000
276,10.587000,0.963333
277,10.616000,0.963333
278,10.639000,0.970000
279,10.662000,0.970000
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,DATASET_PARTITIONING,ENABLE_NEIGHBORHOODS,EARLY_STOPPING,HEAVY_SAMPLES,DATASET
0,6,12.596,18.052,12.596,0.986667,0.075659,2378,163,2215,48235352,0.045000,0.005000,0.050000,75,0,0,true,true,false,true,winequality
