MONITORING_ITER,ACCURACY
1,0.148000
2,0.104000
3,0.154000
4,0.058000
5,0.136000
6,0.146000
7,0.080000
8,0.120000
9,0.192000
10,0.244000
11,0.152000
12,0.232000
13,0.248000
14,0.208000
15,0.278000
16,0.428000
17,0.432000
18,0.290000
19,0.330000
20,0.304000
21,0.308000
22,0.396000
23,0.290000
24,0.334000
25,0.416000
26,0.374000
27,0.370000
28,0.386000
29,0.480000
30,0.438000
31,0.458000
32,0.460000
33,0.486000
34,0.554000
35,0.516000
36,0.536000
37,0.504000
38,0.536000
39,0.620000
40,0.532000
41,0.562000
42,0.520000
43,0.556000
44,0.560000
45,0.566000
46,0.592000
47,0.578000
48,0.592000
49,0.586000
50,0.594000
51,0.594000
52,0.606000
53,0.616000
54,0.608000
55,0.628000
56,0.664000
57,0.640000
58,0.634000
59,0.654000
60,0.630000
61,0.622000
62,0.644000
63,0.640000
64,0.604000
65,0.606000
66,0.628000
67,0.624000
68,0.636000
69,0.646000
70,0.610000
71,0.612000
72,0.610000
73,0.614000
74,0.640000
75,0.652000
76,0.610000
77,0.620000
78,0.624000
79,0.634000
80,0.652000
81,0.650000
82,0.656000
83,0.652000
84,0.644000
85,0.648000
86,0.658000
87,0.656000
88,0.658000
89,0.646000
90,0.634000
91,0.644000
92,0.636000
93,0.646000
94,0.650000
95,0.646000
96,0.634000
97,0.630000
98,0.664000
99,0.656000
100,0.664000
101,0.666000
102,0.676000
103,0.660000
104,0.678000
105,0.652000
106,0.648000
107,0.686000
108,0.668000
109,0.656000
110,0.658000
111,0.636000
112,0.648000
113,0.678000
114,0.684000
115,0.678000
116,0.656000
117,0.660000
118,0.674000
119,0.658000
120,0.664000
121,0.664000
122,0.670000
123,0.644000
124,0.668000
125,0.684000
126,0.702000
127,0.678000
128,0.664000
129,0.664000
130,0.664000
131,0.666000
132,0.674000
133,0.680000
134,0.682000
135,0.666000
136,0.666000
137,0.692000
138,0.676000
139,0.678000
140,0.670000
141,0.676000
142,0.664000
143,0.670000
144,0.684000
145,0.684000
146,0.672000
147,0.676000
148,0.678000
149,0.684000
150,0.690000
151,0.678000
152,0.676000
153,0.672000
154,0.680000
155,0.684000
156,0.698000
157,0.690000
158,0.696000
159,0.684000
160,0.666000
161,0.692000
162,0.696000
163,0.682000
164,0.692000
165,0.684000
166,0.676000
167,0.670000
168,0.690000
169,0.680000
170,0.698000
171,0.688000
172,0.698000
173,0.682000
174,0.678000
175,0.676000
176,0.674000
177,0.678000
178,0.664000
179,0.686000
180,0.674000
181,0.682000
182,0.682000
183,0.688000
184,0.682000
185,0.680000
186,0.678000
187,0.674000
188,0.682000
189,0.668000
190,0.692000
191,0.690000
192,0.686000
193,0.672000
194,0.680000
195,0.678000
196,0.660000
197,0.668000
198,0.680000
199,0.682000
200,0.678000
201,0.692000
202,0.680000
203,0.676000
204,0.684000
205,0.670000
206,0.680000
207,0.672000
208,0.670000
209,0.680000
210,0.684000
211,0.688000
212,0.676000
213,0.682000
214,0.690000
215,0.688000
216,0.684000
217,0.686000
218,0.666000
219,0.692000
220,0.676000
221,0.684000
222,0.684000
223,0.692000
224,0.690000
225,0.692000
226,0.680000
227,0.688000
228,0.686000
229,0.674000
230,0.680000
231,0.686000
232,0.674000
233,0.692000
234,0.682000
235,0.688000
236,0.682000
237,0.690000
238,0.684000
239,0.696000
240,0.686000
241,0.684000
242,0.694000
243,0.704000
244,0.672000
245,0.690000
246,0.680000
247,0.682000
248,0.690000
249,0.686000
250,0.700000
251,0.702000
252,0.702000
253,0.692000
254,0.690000
255,0.684000
256,0.686000
257,0.706000
258,0.678000
259,0.700000
260,0.686000
261,0.696000
262,0.688000
263,0.704000
264,0.682000
265,0.690000
266,0.680000
267,0.708000
268,0.682000
269,0.682000
270,0.692000
271,0.696000
272,0.690000
273,0.688000
274,0.692000
275,0.692000
276,0.700000
277,0.692000
278,0.704000
279,0.698000
280,0.716000
281,0.698000
282,0.718000
283,0.690000
284,0.702000
285,0.700000
286,0.692000
287,0.694000
288,0.690000
289,0.688000
290,0.694000
291,0.674000
292,0.690000
293,0.680000
294,0.692000
295,0.698000
296,0.688000
297,0.680000
298,0.692000
299,0.684000
300,0.700000
301,0.694000
302,0.698000
303,0.690000
304,0.704000
305,0.692000
306,0.708000
307,0.686000
308,0.704000
309,0.696000
310,0.696000
311,0.698000
312,0.692000
313,0.674000
314,0.692000
315,0.702000
316,0.698000
317,0.688000
