MONITORING_ITER,ACCURACY
1,0.218000
2,0.406000
3,0.380000
4,0.366000
5,0.362000
6,0.376000
7,0.392000
8,0.464000
9,0.482000
10,0.500000
11,0.506000
12,0.586000
13,0.714000
14,0.706000
15,0.606000
16,0.654000
17,0.740000
18,0.746000
19,0.774000
20,0.716000
21,0.744000
22,0.792000
23,0.820000
24,0.880000
25,0.846000
26,0.852000
27,0.902000
28,0.878000
29,0.856000
30,0.908000
31,0.880000
32,0.872000
33,0.942000
34,0.918000
35,0.894000
36,0.918000
37,0.910000
38,0.910000
39,0.922000
40,0.924000
41,0.914000
42,0.910000
43,0.922000
44,0.932000
45,0.934000
46,0.926000
47,0.942000
48,0.944000
49,0.936000
50,0.946000
51,0.952000
52,0.938000
53,0.950000
54,0.948000
55,0.954000
56,0.956000
57,0.950000
58,0.956000
59,0.952000
60,0.948000
61,0.946000
62,0.954000
63,0.960000
64,0.950000
65,0.964000
66,0.970000
67,0.962000
68,0.966000
69,0.964000
70,0.956000
71,0.970000
72,0.974000
73,0.960000
74,0.958000
75,0.964000
76,0.976000
77,0.982000
78,0.968000
79,0.960000
80,0.964000
81,0.966000
82,0.966000
83,0.970000
84,0.964000
85,0.972000
86,0.978000
87,0.970000
88,0.972000
89,0.966000
90,0.974000
91,0.972000
92,0.972000
93,0.972000
94,0.956000
95,0.968000
96,0.958000
97,0.970000
98,0.970000
99,0.964000
100,0.976000
101,0.972000
102,0.974000
103,0.974000
104,0.972000
105,0.972000
106,0.974000
107,0.972000
108,0.970000
109,0.970000
110,0.974000
111,0.972000
112,0.976000
113,0.964000
114,0.972000
115,0.976000
116,0.976000
117,0.966000
118,0.962000
119,0.968000
120,0.970000
121,0.964000
122,0.976000
123,0.970000
124,0.968000
125,0.970000
