MONITORING_ITER,TIME_SEC,ACCURACY
1,1.486000,0.300000
2,1.627000,0.390000
3,1.703000,0.353333
4,1.851000,0.403333
5,1.955000,0.373333
6,2.054000,0.373333
7,2.120000,0.443333
8,2.169000,0.373333
9,2.215000,0.410000
10,2.300000,0.403333
11,2.334000,0.386667
12,2.366000,0.483333
13,2.388000,0.400000
14,2.416000,0.456667
15,2.439000,0.470000
16,2.461000,0.416667
17,2.484000,0.490000
18,2.507000,0.413333
19,2.553000,0.456667
20,2.579000,0.443333
21,2.604000,0.416667
22,2.628000,0.490000
23,2.651000,0.410000
24,2.676000,0.456667
25,2.704000,0.466667
26,2.724000,0.400000
27,2.748000,0.496667
28,2.770000,0.420000
29,2.796000,0.446667
30,2.836000,0.443333
31,2.892000,0.413333
32,2.920000,0.493333
33,2.960000,0.430000
34,3.000000,0.473333
35,3.029000,0.453333
36,3.052000,0.420000
37,3.082000,0.500000
38,3.111000,0.443333
39,3.138000,0.463333
40,3.168000,0.460000
41,3.200000,0.413333
42,3.221000,0.493333
43,3.250000,0.443333
44,3.276000,0.466667
45,3.296000,0.473333
46,3.318000,0.426667
47,3.337000,0.513333
48,3.359000,0.426667
49,3.381000,0.463333
50,3.405000,0.466667
51,3.426000,0.443333
52,3.446000,0.500000
53,3.466000,0.433333
54,3.487000,0.476667
55,3.506000,0.456667
56,3.523000,0.410000
57,3.540000,0.516667
58,3.559000,0.446667
59,3.578000,0.466667
60,3.594000,0.480000
61,3.612000,0.423333
62,3.633000,0.510000
63,3.652000,0.443333
64,3.672000,0.483333
65,3.804000,0.466667
66,3.817000,0.430000
67,3.831000,0.526667
68,3.851000,0.463333
69,3.867000,0.486667
70,3.883000,0.463333
71,3.902000,0.420000
72,3.914000,0.520000
73,3.929000,0.456667
74,3.944000,0.483333
75,3.960000,0.476667
76,3.975000,0.430000
77,3.990000,0.533333
78,4.006000,0.443333
79,4.022000,0.480000
80,4.037000,0.493333
81,4.050000,0.430000
82,4.064000,0.536667
83,4.076000,0.456667
84,4.089000,0.496667
85,4.103000,0.480000
86,4.113000,0.453333
87,4.126000,0.526667
88,4.152000,0.456667
89,4.164000,0.506667
90,4.185000,0.486667
91,4.198000,0.463333
92,4.212000,0.533333
93,4.225000,0.466667
94,4.237000,0.500000
95,4.253000,0.470000
96,4.267000,0.456667
97,4.279000,0.533333
98,4.293000,0.450000
99,4.408000,0.506667
100,4.421000,0.486667
101,4.433000,0.453333
102,4.447000,0.533333
103,4.461000,0.456667
104,4.474000,0.503333
105,4.490000,0.496667
106,4.513000,0.460000
107,4.525000,0.543333
108,4.538000,0.456667
109,4.550000,0.500000
110,4.563000,0.490000
111,4.578000,0.433333
112,4.593000,0.516667
113,4.605000,0.463333
114,4.617000,0.493333
115,4.630000,0.493333
116,4.641000,0.460000
117,4.653000,0.520000
118,4.667000,0.473333
119,4.681000,0.483333
120,4.695000,0.496667
121,4.705000,0.453333
122,4.716000,0.530000
123,4.729000,0.473333
124,4.739000,0.506667
125,4.751000,0.486667
126,4.761000,0.456667
127,4.774000,0.526667
128,4.787000,0.483333
129,4.800000,0.490000
130,4.813000,0.486667
131,4.824000,0.453333
132,4.836000,0.533333
133,4.850000,0.470000
134,4.866000,0.486667
135,4.990000,0.493333
136,5.003000,0.446667
137,5.016000,0.540000
138,5.030000,0.460000
139,5.043000,0.500000
140,5.060000,0.473333
141,5.074000,0.453333
142,5.096000,0.526667
143,5.108000,0.463333
144,5.123000,0.506667
145,5.137000,0.490000
146,5.149000,0.453333
147,5.162000,0.540000
LOSS_FUNCTION,MAE,COMBINE_LOSS,AVG,REGULARIZER,NONE
MONITORING_ITER,TIME_SEC,ACCURACY
1,1.306000,0.320000
2,1.337000,0.336667
3,1.383000,0.310000
4,1.438000,0.380000
5,1.489000,0.393333
6,1.523000,0.453333
