MONITORING_ITER,TIME_SEC,ACCURACY
1,5.090000,0.080000
2,7.051000,0.180000
3,8.744000,0.243333
4,10.151000,0.196667
5,11.224000,0.193333
6,12.422000,0.163333
7,13.733000,0.133333
8,14.965000,0.140000
9,16.264000,0.183333
10,17.653000,0.170000
11,19.346000,0.196667
12,20.722000,0.266667
13,21.802000,0.226667
14,24.163000,0.260000
15,26.530000,0.286667
16,28.385000,0.346667
17,29.612000,0.346667
18,31.194000,0.276667
19,32.446000,0.463333
20,33.453000,0.343333
21,34.586000,0.383333
22,35.659000,0.346667
23,36.856000,0.306667
24,37.786000,0.476667
25,38.797000,0.506667
26,40.124000,0.443333
27,41.641000,0.460000
28,43.383000,0.406667
29,44.848000,0.550000
30,45.978000,0.456667
31,47.224000,0.500000
32,48.442000,0.580000
33,49.504000,0.500000
34,50.651000,0.526667
35,51.768000,0.520000
36,52.948000,0.496667
37,54.130000,0.543333
38,55.105000,0.503333
39,56.119000,0.633333
40,57.159000,0.453333
41,58.302000,0.576667
42,59.354000,0.516667
43,60.559000,0.466667
44,61.763000,0.566667
45,62.980000,0.560000
46,64.525000,0.563333
47,67.560000,0.653333
48,70.492000,0.506667
49,72.769000,0.640000
50,73.858000,0.550000
51,74.965000,0.590000
52,76.340000,0.633333
53,78.036000,0.573333
54,79.836000,0.580000
55,81.555000,0.583333
56,82.577000,0.576667
57,83.570000,0.683333
58,84.629000,0.570000
59,85.902000,0.700000
60,87.188000,0.636667
61,88.623000,0.626667
62,90.408000,0.680000
63,92.179000,0.580000
64,93.964000,0.640000
65,95.496000,0.633333
66,97.337000,0.556667
67,99.174000,0.610000
68,100.932000,0.626667
69,102.094000,0.643333
70,103.433000,0.670000
71,104.888000,0.636667
72,107.144000,0.723333
73,109.922000,0.626667
74,111.948000,0.640000
75,113.144000,0.676667
76,114.035000,0.626667
77,114.944000,0.703333
78,116.062000,0.663333
79,117.212000,0.716667
80,118.166000,0.690000
81,119.462000,0.690000
82,120.646000,0.750000
83,122.215000,0.636667
84,124.022000,0.720000
85,125.797000,0.643333
86,127.566000,0.643333
87,128.856000,0.633333
88,130.120000,0.616667
89,131.344000,0.723333
90,132.372000,0.710000
91,133.323000,0.686667
92,134.489000,0.720000
93,135.940000,0.656667
94,137.103000,0.736667
95,138.133000,0.700000
96,139.263000,0.670000
97,140.618000,0.740000
98,141.961000,0.680000
99,143.143000,0.740000
100,144.145000,0.716667
101,146.128000,0.646667
102,148.598000,0.680000
103,150.430000,0.610000
104,151.499000,0.703333
105,152.732000,0.710000
106,153.747000,0.670000
107,154.910000,0.760000
108,156.146000,0.683333
109,157.502000,0.743333
110,158.862000,0.743333
111,160.267000,0.723333
112,161.638000,0.793333
113,163.590000,0.713333
114,165.548000,0.766667
115,166.828000,0.720000
116,167.928000,0.683333
117,169.158000,0.770000
118,170.713000,0.670000
119,172.509000,0.693333
120,174.215000,0.690000
121,175.622000,0.676667
122,176.838000,0.756667
123,178.168000,0.703333
124,179.547000,0.716667
125,181.149000,0.700000
126,182.771000,0.720000
127,184.339000,0.743333
128,186.199000,0.686667
129,187.930000,0.726667
130,189.654000,0.680000
131,191.379000,0.683333
132,193.259000,0.773333
133,194.766000,0.696667
134,196.566000,0.740000
135,198.542000,0.713333
136,200.173000,0.683333
137,201.891000,0.760000
138,203.508000,0.696667
139,204.994000,0.730000
140,206.446000,0.723333
141,207.555000,0.720000
142,208.667000,0.776667
143,209.790000,0.713333
144,211.083000,0.776667
145,212.344000,0.716667
146,213.410000,0.726667
147,214.396000,0.776667
148,215.571000,0.716667
149,216.944000,0.756667
150,218.221000,0.726667
151,219.654000,0.713333
152,221.263000,0.780000
153,222.709000,0.713333
154,223.923000,0.776667
155,225.316000,0.716667
156,226.686000,0.736667
157,228.252000,0.783333
158,229.786000,0.720000
159,231.174000,0.780000
160,232.659000,0.740000
161,234.074000,0.733333
162,235.758000,0.770000
FILTER_ENABLED,N_WORKERS,TOTAL_ELAPSED,COORD_ELAPSED,LAST_WORKER_ELAPSED,GBEST_ACC,GBEST_LOSS,TOTAL_MESSAGES_SENT,TOTAL_MESSAGES_SENT_PBEST,TOTAL_MESSAGES_SENT_CURRENT_WEIGHTS,TOTAL_BYTES_SENT,LOSS_THRESHOLD_DIFF,LOSS_THRESHOLD_MIN,LOSS_THRESHOLD_MAX,PBEST_DEBOUNCE_MS,MONITORING_THRESHOLD_MIN,MONITORING_THRESHOLD_MAX,INDEPENDENT_DATA_PROCESSING,ENABLE_NEIGHBORHOODS
0,24,236.001,231.839,236.001,0.793333,0.724312,4973,633,4340,18380208,0.045000,0.005000,0.050000,75,0,0,true,true
